"id","full_datetime","expected_year","expected_month","expected_monthname","expected_day","expected_dayname","expected_weeknum","expected_quarter","expected_dayofyear","sample_type"
1,"2020-01-01 00:57:02",2020,1,"January",1,"Wednesday",1,1,1,"Other"
2,"2020-03-03 17:36:49",2020,3,"March",3,"Tuesday",9,1,63,"Blood"
3,"2020-05-05 02:21:16",2020,5,"May",5,"Tuesday",18,2,126,"Tissue"
4,"2020-07-07 04:32:23",2020,7,"July",7,"Tuesday",27,3,189,"Tissue"
5,"2020-09-08 06:02:49",2020,9,"September",8,"Tuesday",36,3,252,"Urine"
6,"2020-11-10 05:13:10",2020,11,"November",10,"Tuesday",45,4,315,"Other"
7,"2021-01-12 15:37:07",2021,1,"January",12,"Tuesday",2,1,12,"Urine"
8,"2021-03-16 12:15:38",2021,3,"March",16,"Tuesday",11,1,75,"Blood"
9,"2021-05-18 00:09:52",2021,5,"May",18,"Tuesday",20,2,138,"Blood"
10,"2021-07-20 23:26:19",2021,7,"July",20,"Tuesday",29,3,201,"Urine"
11,"2021-09-21 18:07:27",2021,9,"September",21,"Tuesday",38,3,264,"Other"
12,"2021-11-23 17:22:53",2021,11,"November",23,"Tuesday",47,4,327,"Urine"
13,"2022-01-25 09:53:22",2022,1,"January",25,"Tuesday",4,1,25,"Tissue"
14,"2022-03-29 13:08:55",2022,3,"March",29,"Tuesday",13,1,88,"Tissue"
15,"2022-05-31 09:34:32",2022,5,"May",31,"Tuesday",22,2,151,"Urine"
16,"2022-08-02 22:33:59",2022,8,"August",2,"Tuesday",31,3,214,"Tissue"
17,"2022-10-04 01:37:55",2022,10,"October",4,"Tuesday",40,4,277,"Tissue"
18,"2022-12-06 15:33:18",2022,12,"December",6,"Tuesday",49,4,340,"Blood"
19,"2023-02-07 08:47:15",2023,2,"February",7,"Tuesday",6,1,38,"Other"
20,"2023-04-11 16:29:39",2023,4,"April",11,"Tuesday",15,2,101,"Blood"
21,"2023-06-13 01:24:51",2023,6,"June",13,"Tuesday",24,2,164,"Other"
22,"2023-08-15 14:29:49",2023,8,"August",15,"Tuesday",33,3,227,"Blood"
23,"2023-10-17 22:08:52",2023,10,"October",17,"Tuesday",42,4,290,"Tissue"
24,"2023-12-19 07:36:09",2023,12,"December",19,"Tuesday",51,4,353,"Blood"
25,"2024-02-20 02:16:09",2024,2,"February",20,"Tuesday",8,1,51,"Tissue"
26,"2024-04-23 01:43:18",2024,4,"April",23,"Tuesday",17,2,114,"Blood"
27,"2024-06-25 16:19:53",2024,6,"June",25,"Tuesday",26,2,177,"Urine"
28,"2024-08-27 21:35:12",2024,8,"August",27,"Tuesday",35,3,240,"Urine"
29,"2024-10-29 02:37:22",2024,10,"October",29,"Tuesday",44,4,303,"Other"
30,"2024-12-31 10:33:43",2024,12,"December",31,"Tuesday",53,4,366,"Other"
