"id","datetime_string","expected_status"
1,"2020-02-29","valid"
2,"2024-02-29","valid"
3,"2021-02-29","invalid"
4,"2023-01-31","valid"
5,"2023-02-28","valid"
6,"2023-04-30","valid"
7,"2023-04-31","invalid"
8,"2019-12-31 23:59:59","valid"
9,"2020-01-01 00:00:00","valid"
10,"2023-06-15 00:00:00","valid"
11,"2023-06-15 23:59:59","valid"
12,"2023/07/15","valid"
13,"2023.07.15","valid"
14,"15-Jul-2023","valid"
15,"2023-13-01","invalid"
16,"2023-00-15","invalid"
17,"2023-06-00","invalid"
18,"2023-06-32","invalid"
19,"","invalid"
20,"NA","invalid"
21,"NULL","invalid"
22,"01-02-2023","ambiguous"
23,"12-11-2023","ambiguous"
24,"05-08-2023","ambiguous"
25,"2023-W25","special"
26,"2023-Q2","special"
