"id","excel_serial_date","expected_date","excel_serial_datetime","source"
1,43101,"2018-01-01",43101.6459850193,"Lab_System"
2,43166.5384615385,"2018-03-07",43166.8152393022,"Hospital_Records"
3,43232.0769230769,"2018-05-12",43233.0470315905,"Lab_System"
4,43297.6153846154,"2018-07-16",43298.2528100823,"Research_DB"
5,43363.1538461539,"2018-09-20",43363.7305988053,"Hospital_Records"
6,43428.6923076923,"2018-11-24",43429.302020008,"Lab_System"
7,43494.2307692308,"2019-01-29",43495.1466581223,"Research_DB"
8,43559.7692307692,"2019-04-04",43560.1553534356,"Hospital_Records"
9,43625.3076923077,"2019-06-09",43625.5927327959,"Lab_System"
10,43690.8461538461,"2019-08-13",43690.9359824512,"Lab_System"
11,43756.3846153846,"2019-10-18",43756.7034289496,"Lab_System"
12,43821.9230769231,"2019-12-22",43822.6737643345,"Hospital_Records"
13,43887.4615384615,"2020-02-26",43887.5649072619,"Hospital_Records"
14,43953,"2020-05-02",43953.7031750741,"Lab_System"
15,44018.5384615385,"2020-07-06",44019.4952741483,"Research_DB"
16,44084.0769230769,"2020-09-10",44084.2763993909,"Lab_System"
17,44149.6153846154,"2020-11-14",44149.7227883833,"Research_DB"
18,44215.1538461539,"2021-01-19",44215.2086943108,"Hospital_Records"
19,44280.6923076923,"2021-03-25",44281.5137339722,"Research_DB"
20,44346.2307692308,"2021-05-30",44346.8061550098,"Lab_System"
21,44411.7692307692,"2021-08-03",44412.2346222208,"Hospital_Records"
22,44477.3076923077,"2021-10-08",44477.6690562865,"Hospital_Records"
23,44542.8461538461,"2021-12-12",44543.1234772272,"Hospital_Records"
24,44608.3846153846,"2022-02-16",44608.978334081,"Hospital_Records"
25,44673.9230769231,"2022-04-22",44674.7334608399,"Research_DB"
26,44739.4615384615,"2022-06-27",44739.5583924192,"Lab_System"
27,44805,"2022-09-01",44805.9540526308,"Research_DB"
28,44870.5384615385,"2022-11-05",44870.7055106174,"Lab_System"
29,44936.0769230769,"2023-01-10",44936.1621456487,"Research_DB"
30,45001.6153846154,"2023-03-16",45002.4679832041,"Lab_System"
31,45067.1538461539,"2023-05-21",45067.6733888499,"Hospital_Records"
32,45132.6923076923,"2023-07-25",45133.3425504588,"Hospital_Records"
33,45198.2307692308,"2023-09-29",45198.4579934098,"Research_DB"
34,45263.7692307692,"2023-12-03",45264.4832445403,"Research_DB"
35,45329.3076923077,"2024-02-07",45329.7935351987,"Hospital_Records"
36,45394.8461538461,"2024-04-12",45395.8017568827,"Lab_System"
37,45460.3846153846,"2024-06-17",45461.2824884403,"Hospital_Records"
38,45525.9230769231,"2024-08-21",45526.4688149456,"Lab_System"
39,45591.4615384615,"2024-10-26",45591.53638157,"Research_DB"
40,45657,"2024-12-31",45657.0224730112,"Research_DB"
