"dog_id","sample_number","time_point","age","breed","sample_method","pathologist_experience","fibrosis_score","diagnosis","cell_count"
"Dog_001",1,1,8.7,"Labrador","Core Biopsy",20,3.6,"Negative",8
"Dog_001",2,2,8.7,"Labrador","Core Biopsy",15,3.9,"Negative",15
"Dog_002",1,1,3.6,"Mixed","Core Biopsy",15,3.5,"Positive",12
"Dog_002",2,2,3.6,"Mixed","Fine Needle",5,2.3,"Negative",6
"Dog_003",1,1,0.7,"Labrador","Core Biopsy",10,0.1,"Positive",2
"Dog_003",2,2,0.7,"Labrador","Fine Needle",5,0.9,"Negative",3
"Dog_004",1,1,5.2,"Mixed","Core Biopsy",15,0.2,"Negative",7
"Dog_004",2,2,5.2,"Mixed","Surgical",10,0.4,"Negative",5
"Dog_005",1,1,7,"Labrador","Fine Needle",10,1,"Negative",4
"Dog_005",2,2,7,"Labrador","Core Biopsy",15,0,"Negative",4
"Dog_006",1,1,6.3,"Labrador","Core Biopsy",5,0.7,"Positive",4
"Dog_006",2,2,6.3,"Labrador","Fine Needle",20,0.3,"Negative",2
"Dog_007",1,1,4.4,"Poodle","Core Biopsy",20,3.4,"Negative",9
"Dog_007",2,2,4.4,"Poodle","Fine Needle",10,3,"Negative",7
"Dog_008",1,1,7.9,"German Shepherd","Surgical",5,2.8,"Positive",8
"Dog_008",2,2,7.9,"German Shepherd","Fine Needle",5,3.2,"Negative",7
"Dog_009",1,1,7.8,"Mixed","Fine Needle",20,2,"Positive",3
"Dog_009",2,2,7.8,"Mixed","Core Biopsy",20,3.5,"Positive",10
"Dog_010",1,1,5.5,"Mixed","Surgical",15,0.2,"Negative",1
"Dog_010",2,2,5.5,"Mixed","Core Biopsy",15,0.8,"Negative",2
"Dog_011",1,1,7.2,"German Shepherd","Fine Needle",20,1.6,"Positive",7
"Dog_011",2,2,7.2,"German Shepherd","Core Biopsy",20,2.7,"Negative",10
"Dog_012",1,1,7.6,"Labrador","Core Biopsy",10,0.9,"Negative",1
"Dog_012",2,2,7.6,"Labrador","Surgical",15,1.7,"Negative",4
"Dog_013",1,1,4,"Poodle","Fine Needle",15,0.8,"Negative",3
