"employee","reports_to","relationship_strength","department","level"
"CEO","VP_Sales",9.5,"Executive",1
"CEO","VP_Marketing",8.7,"Executive",1
"VP_Sales","Sales_Mgr1",8.2,"Sales",2
"VP_Sales","Sales_Mgr2",7.9,"Sales",2
"VP_Marketing","Marketing_Mgr",8.5,"Marketing",2
"VP_Marketing","Marketing_Analyst",7.3,"Marketing",3
"VP_Tech","Tech_Lead1",9.1,"Technology",2
"VP_Tech","Tech_Lead2",8.4,"Technology",2
"Sales_Mgr1","Sales_Rep1",7.8,"Sales",3
"Sales_Mgr1","Sales_Rep2",8.1,"Sales",3
"Sales_Mgr2","Sales_Rep3",7.6,"Sales",3
"Sales_Mgr2","Sales_Rep4",8.3,"Sales",3
"Marketing_Mgr","Marketing_Analyst",7.9,"Marketing",3
"Marketing_Mgr","Marketing_Coord",8.2,"Marketing",3
"Tech_Lead1","Developer1",8.7,"Technology",3
"Tech_Lead1","Developer2",8.9,"Technology",3
"Tech_Lead2","Developer3",8.1,"Technology",3
"Tech_Lead2","Developer4",7.8,"Technology",3
