"id","group","category","measurement","value"
1,"Group A","Type 2",32.0866732027186,107.537649341347
2,"Group A","Type 1",36.6380452391689,86.9795334956302
3,"Group A","Type 1",57.4937427244759,69.07212995705
4,"Group B","Type 2",70.143427901368,84.4545686067788
5,"Group C","Type 1",65.4113403524802,71.6876980160159
6,"Group C","Type 2",59.0643896747481,91.6707108070044
7,"Group A","Type 1",31.7331678945249,118.077465543386
8,"Group C","Type 2",40.0786290079196,91.2589739622852
9,"Group A","Type 2",31.6970286000072,108.028068692978
10,"Group B","Type 1",66.3166443724478,110.059983070886
11,"Group B","Type 1",73.5198223780366,103.206818152895
12,"Group A","Type 2",46.3804453864747,136.765804405871
13,"Group B","Type 1",72.7540672569241,93.6837386787741
14,"Group B","Type 2",63.0300368852889,91.4851751519092
15,"Group A","Type 2",52.1390602330188,110.211325751529
16,"Group B","Type 2",57.5212405371575,109.103415603924
17,"Group A","Type 1",54.5760916940848,104.952384213776
18,"Group C","Type 2",67.166399868654,81.283410604973
19,"Group A","Type 1",38.7278424324677,117.328428287588
20,"Group C","Type 1",51.2894769721965,121.784285196673
21,"Group C","Type 2",62.8225745638933,66.4340919803716
22,"Group C","Type 1",99.4564769912055,109.247185977203
23,"Group C","Type 2",77.8759973162697,102.04580860343
24,"Group A","Type 2",65.39988650145,80.0835270661655
25,"Group A","Type 1",67.2654133844902,112.773883908637
26,"Group C","Type 1",49.6953776797999,108.182160154625
27,"Group B","Type 1",45.5803395910392,52.683553998272
28,"Group B","Type 2",64.0453948303722,104.465602688571
29,"Group C","Type 1",79.3307813595791,106.350496851129
30,"Group B","Type 1",56.3645376494554,64.5107858681818
