record_id,hospital,quarter,metric_type,quality_grade,compliance_score,case_volume
QM0001,Hospital D,Q1 2025,Treatment Adherence,Good,74.48086749024846,221
QM0002,Hospital A,Q2 2025,Timely Reporting,Excellent,93.16327076814538,226
QM0003,Hospital D,Q1 2025,Treatment Adherence,Good,82.48662432216378,89
QM0004,Hospital B,Q2 2025,Diagnostic Accuracy,Good,79.7135401582327,164
QM0005,Hospital D,Q4 2025,Treatment Adherence,Excellent,95.96988853283878,139
QM0006,Hospital A,Q3 2025,Patient Safety,Good,78.32005369857832,162
QM0007,Hospital A,Q4 2025,Treatment Adherence,Good,73.14361669509789,188
QM0008,Hospital C,Q4 2025,Timely Reporting,Fair,65.01254529215198,113
QM0009,Hospital A,Q4 2025,Timely Reporting,Excellent,91.82614970734727,121
QM0010,Hospital C,Q1 2025,Diagnostic Accuracy,Fair,55.99859026510472,154
QM0011,Hospital C,Q1 2025,Patient Safety,Fair,72.77655145863024,111
QM0012,Hospital A,Q4 2025,Treatment Adherence,Good,76.20776382889544,198
QM0013,Hospital E,Q4 2025,Patient Safety,Poor,35.08427157541653,210
QM0014,Hospital D,Q4 2025,Treatment Adherence,Fair,56.864544370638356,48
QM0015,Hospital C,Q4 2025,Diagnostic Accuracy,Excellent,93.33991665398474,165
QM0016,Hospital D,Q4 2025,Diagnostic Accuracy,Good,79.31396565417585,156
QM0017,Hospital C,Q2 2025,Diagnostic Accuracy,Poor,48.938876200916226,221
QM0018,Hospital E,Q4 2025,Patient Safety,Fair,75.79959900734313,143
QM0019,Hospital C,Q3 2025,Diagnostic Accuracy,Good,77.35240749284118,145
QM0020,Hospital D,Q1 2025,Timely Reporting,Excellent,97.37505335764621,136
QM0021,Hospital C,Q1 2025,Treatment Adherence,Excellent,93.25900350954406,159
QM0022,Hospital A,Q1 2025,Timely Reporting,Excellent,94.99397158270816,100
QM0023,Hospital A,Q4 2025,Timely Reporting,Fair,69.01250441260346,206
QM0024,Hospital A,Q2 2025,Timely Reporting,Good,73.22496064544286,102
QM0025,Hospital A,Q2 2025,Diagnostic Accuracy,Good,83.17395459527684,191
QM0026,Hospital A,Q4 2025,Timely Reporting,Excellent,98.61397655985111,128
QM0027,Hospital B,Q2 2025,Timely Reporting,Good,76.30661610690318,123
QM0028,Hospital A,Q2 2025,Treatment Adherence,Good,79.15786479242651,119
QM0029,Hospital E,Q2 2025,Diagnostic Accuracy,Good,77.49713903636234,144
QM0030,Hospital A,Q3 2025,Patient Safety,Excellent,95.2092807727213,183
QM0031,Hospital A,Q3 2025,Treatment Adherence,Excellent,90.54101707607191,55
QM0032,Hospital A,Q3 2025,Treatment Adherence,Excellent,100,120
QM0033,Hospital C,Q1 2025,Timely Reporting,Excellent,95.26894737725048,182
QM0034,Hospital D,Q3 2025,Diagnostic Accuracy,Poor,50.59709427852284,161
QM0035,Hospital A,Q3 2025,Timely Reporting,Excellent,89.88638408600059,127
QM0036,Hospital A,Q4 2025,Diagnostic Accuracy,Excellent,87.9481213078225,117
QM0037,Hospital A,Q3 2025,Patient Safety,Fair,67.30663909524772,167
QM0038,Hospital C,Q3 2025,Treatment Adherence,Good,81.94508556042916,105
QM0039,Hospital A,Q4 2025,Treatment Adherence,Excellent,92.15560272271429,113
QM0040,Hospital E,Q4 2025,Diagnostic Accuracy,Fair,67.91985994751275,184
QM0041,Hospital E,Q4 2025,Diagnostic Accuracy,Fair,69.09559933945637,190
QM0042,Hospital A,Q2 2025,Diagnostic Accuracy,Excellent,NA,251
QM0043,Hospital B,Q3 2025,Timely Reporting,Good,76.61281245273491,179
QM0044,Hospital B,Q4 2025,Diagnostic Accuracy,Fair,62.331229580153654,64
QM0045,Hospital D,Q2 2025,Treatment Adherence,Fair,72.54737725726957,107
QM0046,Hospital A,Q2 2025,Patient Safety,Excellent,99.30667417141304,150
QM0047,Hospital A,Q2 2025,Diagnostic Accuracy,Fair,69.49493448582638,78
QM0048,Hospital D,Q2 2025,Timely Reporting,Good,84.63351874928038,101
QM0049,Hospital E,Q3 2025,Timely Reporting,Poor,69.22282151903445,118
QM0050,Hospital D,Q2 2025,Timely Reporting,Excellent,91.17705236697293,110
QM0051,Hospital C,Q1 2025,Diagnostic Accuracy,Fair,75.94394746677239,140
QM0052,Hospital A,Q3 2025,Patient Safety,Fair,62.56113650552928,225
QM0053,Hospital A,Q4 2025,Timely Reporting,Good,78.78190629960605,106
QM0054,Hospital B,Q2 2025,Patient Safety,Excellent,100,168
QM0055,Hospital B,Q1 2025,Patient Safety,Excellent,97.9347862902074,145
QM0056,Hospital B,Q3 2025,Treatment Adherence,Excellent,99.59702970913077,150
QM0057,Hospital C,Q2 2025,Treatment Adherence,Good,83.97549015112287,145
QM0058,Hospital D,Q2 2025,Timely Reporting,Poor,31.520312659241995,170
QM0059,Hospital D,Q4 2025,Patient Safety,Fair,60.6822120065746,155
QM0060,Hospital C,Q4 2025,Diagnostic Accuracy,Excellent,92.4504156134458,240
QM0061,Hospital B,Q4 2025,Timely Reporting,Excellent,92.00893614733798,122
QM0062,Hospital B,Q3 2025,Treatment Adherence,Good,97.15068126928739,123
QM0063,Hospital A,Q2 2025,Diagnostic Accuracy,Good,71.54442807252451,226
QM0064,Hospital C,Q3 2025,Treatment Adherence,Good,75.08389631327087,130
QM0065,Hospital D,Q4 2025,Timely Reporting,Poor,26.648121008704145,129
QM0066,Hospital E,Q4 2025,Timely Reporting,NA,43.29392785682922,120
QM0067,Hospital B,Q2 2025,Treatment Adherence,Excellent,96.21814815508141,141
