id,category,group,response,value
SM001,Category C,Group 2,Neutral,34.49494584061457
SM002,Category C,Group 2,Positive,61.15680356167369
SM003,Category B,Group 2,Positive,63.81005861487994
SM004,Category B,Group 2,Positive,64.73273086581526
SM005,Category C,Group 2,Positive,47.08602772222357
SM006,Category A,Group 2,Neutral,54.63377414295216
SM007,Category B,Group 2,Positive,40.10180671771202
SM008,Category A,Group 2,Neutral,46.152760638574364
SM009,Category A,Group 2,Neutral,55.66552859141947
SM010,Category B,Group 1,Negative,38.20503526802354
SM011,Category B,Group 2,Positive,43.31984379930181
SM012,Category C,Group 2,Positive,36.494725189677496
SM013,Category C,Group 1,Neutral,36.345008651147154
SM014,Category A,Group 1,NA,27.28930598418398
SM015,Category B,Group 1,Positive,32.47953632320993
SM016,Category A,Group 2,Positive,57.42537783244649
SM017,Category B,Group 2,Positive,28.609150757398183
SM018,Category C,Group 1,Positive,64.76925739592271
SM019,Category C,Group 2,Neutral,42.517287918304696
SM020,Category C,Group 1,NA,40.05836025480838
SM021,Category C,Group 2,Negative,70.60163266866367
SM022,Category C,Group 2,Positive,35.0454072216506
SM023,Category B,Group 1,Negative,48.647078374073416
SM024,Category C,Group 2,Positive,76.34326073128621
SM025,Category A,Group 1,Neutral,61.80688329400159
SM026,Category B,Group 1,Neutral,41.122309703427575
SM027,Category C,Group 2,Neutral,38.53359905954993
SM028,Category C,Group 2,Negative,54.2336595339165
SM029,Category A,Group 1,Negative,75.64487149749698
SM030,Category A,Group 1,Neutral,53.45668056920096
