"domain","scenario_id","study_type","description","outcome_categories","raters","kappa0","kappaL","kappaU","ci_width","proportions","alpha","clinical_context","research_question"
"medical_diagnosis_ci","ed_stroke_precision","Emergency Department Stroke Diagnosis","Sample size for precise stroke CT interpretation agreement",2,2,0.7,0.6,0.8,0.2,"0.15, 0.85",0.05,"Two emergency radiologists establishing stroke protocol with target moderate agreement","How many CT scans needed to estimate agreement (κ=0.70) with 95% CI width of 0.20?"
"medical_diagnosis_ci","mammo_narrow_precision","Mammography BIRADS Classification","High precision mammography agreement estimation",2,2,0.8,0.75,0.85,0.1,"0.20, 0.80",0.05,"Two breast radiologists require narrow CI for clinical guideline recommendation","How many mammograms needed to estimate good agreement (κ=0.80) with narrow CI (±0.05)?"
"medical_diagnosis_ci","dermato_melanoma_wide","Dermatology Melanoma Diagnosis","Wide precision acceptable for initial pilot",2,2,0.6,0.45,0.75,0.3,"0.10, 0.90",0.05,"Two dermatologists conducting pilot reliability study with moderate precision","How many cases needed for moderate agreement estimate with wide CI (±0.15)?"
"medical_diagnosis_ci","pathology_her2_tight","HER2 IHC Scoring Agreement","Very tight precision for regulatory validation",2,2,0.85,0.8,0.9,0.1,"0.25, 0.75",0.01,"Two pathologists validating HER2 scoring for FDA submission requiring stringent precision","How many HER2 cases needed for very narrow CI (±0.05) at α=0.01?"
"medical_diagnosis_ci","radiology_covid_moderate","COVID-19 Chest CT Patterns","Moderate precision for practice improvement",2,2,0.65,0.55,0.75,0.2,"0.30, 0.70",0.05,"Two radiologists assessing COVID-19 CT patterns for quality improvement","How many chest CTs needed for moderate agreement estimate with standard precision?"
"severity_ci","burn_severity_narrow","Burn Severity Assessment","Narrow precision for burn classification validation",3,2,0.7,0.63,0.77,0.14,"0.20, 0.50, 0.30",0.05,"Two burn surgeons validating 3-level severity classification (1st/2nd/3rd degree)","How many burn assessments needed for precise agreement estimate on severity?"
"severity_ci","pain_scale_moderate","Pediatric Pain Scale (FLACC)","Moderate precision for clinical implementation",3,3,0.65,0.55,0.75,0.2,"0.30, 0.50, 0.20",0.05,"Three pediatric nurses validating pain scale with moderate precision acceptable","How many pediatric pain assessments needed for 3-rater moderate precision estimate?"
"severity_ci","pressure_ulcer_wide","Pressure Ulcer Staging","Wide precision acceptable for training study",3,2,0.6,0.45,0.75,0.3,"0.40, 0.40, 0.20",0.05,"Two wound care nurses in pilot training reliability study","How many pressure ulcer assessments needed with wide CI for training evaluation?"
"severity_ci","copd_exacerbation_tight","COPD Exacerbation Severity","Tight precision for clinical guideline",3,2,0.75,0.68,0.82,0.14,"0.25, 0.50, 0.25",0.05,"Two pulmonologists validating severity classification for treatment protocol","How many COPD assessments needed for tight precision estimate?"
"severity_ci","aki_staging_precision","AKI Staging Agreement","Standard precision for nephrology protocol",3,2,0.68,0.58,0.78,0.2,"0.30, 0.45, 0.25",0.05,"Two nephrologists validating AKI (Acute Kidney Injury) staging agreement","How many AKI cases needed for moderate precision CI on 3-stage classification?"
"four_category_ci","tumor_grade_narrow","Tumor Histologic Grade","Narrow precision for pathology quality program",4,2,0.72,0.65,0.79,0.14,"0.25, 0.35, 0.25, 0.15",0.05,"Two pathologists validating 4-level tumor grading (well/moderate/poor/undifferentiated)","How many tumor grades needed for narrow CI on 4-category classification?"
"four_category_ci","gcs_assessment_moderate","Glasgow Coma Scale","Moderate precision for emergency protocol",4,3,0.68,0.58,0.78,0.2,"0.15, 0.30, 0.35, 0.20",0.05,"Three ER nurses validating GCS assessment with multiple raters","How many GCS assessments needed for 3-rater moderate precision estimate?"
"four_category_ci","depression_severity_wide","Depression Severity Scale","Wide precision for pilot psychiatric study",4,2,0.6,0.45,0.75,0.3,"0.20, 0.30, 0.30, 0.20",0.05,"Two psychiatrists pilot testing depression severity classification","How many depression assessments needed with wide CI for initial validation?"
"four_category_ci","diabetic_retino_tight","Diabetic Retinopathy Grading","Tight precision for screening program validation",4,2,0.78,0.71,0.85,0.14,"0.40, 0.30, 0.20, 0.10",0.01,"Two ophthalmologists validating retinopathy grading for national screening program","How many retinal exams needed for tight precision at stringent alpha (α=0.01)?"
"four_category_ci","asthma_control_standard","Asthma Control Assessment","Standard precision for pediatric protocol",4,2,0.7,0.6,0.8,0.2,"0.25, 0.30, 0.30, 0.15",0.05,"Two pediatric pulmonologists validating asthma control classification","How many asthma assessments needed for standard precision CI?"
"five_category_ci","cardiac_murmur_narrow","Cardiac Murmur Grading","Narrow precision for cardiology training",5,2,0.68,0.61,0.75,0.14,"0.15, 0.20, 0.30, 0.25, 0.10",0.05,"Two cardiologists validating 5-level murmur grading for teaching program","How many murmur assessments needed for narrow CI on 5-category scale?"
"five_category_ci","cancer_stage_moderate","Cancer TNM Staging","Moderate precision for oncology QA",5,2,0.72,0.62,0.82,0.2,"0.20, 0.25, 0.25, 0.20, 0.10",0.05,"Two oncologists validating TNM staging agreement for quality assurance","How many cancer staging assessments needed for moderate precision estimate?"
"five_category_ci","frailty_index_wide","Geriatric Frailty Index","Wide precision acceptable for geriatric pilot",5,3,0.62,0.47,0.77,0.3,"0.20, 0.20, 0.25, 0.20, 0.15",0.05,"Three geriatricians pilot testing frailty classification with 3 raters","How many frailty assessments needed for 3-rater wide precision estimate?"
"five_category_ci","liver_fibrosis_tight","Liver Fibrosis Staging","Tight precision for hepatology guideline",5,2,0.75,0.68,0.82,0.14,"0.25, 0.20, 0.20, 0.20, 0.15",0.05,"Two hepatopathologists validating fibrosis staging (F0-F4) for clinical practice","How many liver biopsies needed for tight precision on 5-stage classification?"
"five_category_ci","dysplasia_grade_standard","Cervical Dysplasia Grading","Standard precision for cytology screening",5,2,0.7,0.6,0.8,0.2,"0.30, 0.25, 0.20, 0.15, 0.10",0.05,"Two cytopathologists validating dysplasia grading for screening program","How many cytology cases needed for standard precision CI?"
"research_quality_ci","psychometric_validation_narrow","Psychometric Scale Validation","Narrow precision for scale validation study",3,2,0.8,0.73,0.87,0.14,"0.30, 0.50, 0.20",0.05,"Two psychologists validating new assessment instrument with high precision requirement","How many assessments needed for narrow CI on new psychometric scale?"
"research_quality_ci","biomarker_cutpoint_tight","Biomarker Cutpoint Agreement","Tight precision for diagnostic cutpoint validation",2,3,0.78,0.71,0.85,0.14,"0.35, 0.65",0.01,"Three pathologists validating biomarker cutpoint with 3 raters at stringent alpha","How many biomarker cases needed for tight precision with multiple raters?"
"research_quality_ci","imaging_ai_validation_moderate","AI Algorithm Validation","Moderate precision for AI vs radiologist comparison",2,2,0.72,0.62,0.82,0.2,"0.25, 0.75",0.05,"Two radiologists validating AI algorithm agreement for regulatory approval","How many images needed for moderate precision AI validation CI?"
"research_quality_ci","surgical_complication_wide","Surgical Complication Classification","Wide precision for quality improvement pilot",4,2,0.65,0.5,0.8,0.3,"0.50, 0.30, 0.15, 0.05",0.05,"Two surgeons pilot testing complication classification system","How many surgical cases needed for wide CI in pilot quality study?"
"research_quality_ci","telemedicine_agreement_standard","Telemedicine Diagnosis Agreement","Standard precision for telehealth validation",3,2,0.68,0.58,0.78,0.2,"0.40, 0.40, 0.20",0.05,"Two physicians comparing telemedicine vs in-person diagnosis agreement","How many telemedicine consultations needed for standard precision estimate?"
