"case_name","relationship_type","description","outcome","raters","kappa0","proportions","alpha","n","expected_pattern","teaching_point"
"n_20_minimum","sample_size","Very small pilot: n=20","2",2,0.5,"0.50, 0.50",0.05,20,"Limited precision, wide detectable range","Very small samples can only detect large effects"
"n_30_small_pilot","sample_size","Small pilot study: n=30","2",2,0.5,"0.50, 0.50",0.05,30,"Moderate precision improvement","Small pilots require substantial true kappa differences"
"n_50_feasibility","sample_size","Feasibility study: n=50","2",2,0.5,"0.50, 0.50",0.05,50,"Better precision than n=30","Feasibility studies have moderate detection capability"
"n_75_small_standard","sample_size","Small standard study: n=75","2",2,0.5,"0.50, 0.50",0.05,75,"Reasonable precision emerging","Approaching useful precision for clinical decisions"
"n_100_standard","sample_size","Standard study: n=100","2",2,0.5,"0.50, 0.50",0.05,100,"Good precision for most purposes","Standard sample size provides reliable detection"
"n_150_moderate","sample_size","Moderate-large study: n=150","2",2,0.5,"0.50, 0.50",0.05,150,"Very good precision","Larger samples detect smaller kappa differences"
"n_200_large","sample_size","Large study: n=200","2",2,0.5,"0.50, 0.50",0.05,200,"High precision achieved","Large samples provide narrow detectable range"
"n_300_very_large","sample_size","Very large study: n=300","2",2,0.5,"0.50, 0.50",0.05,300,"Very high precision","Very large samples approach asymptotic precision"
"n_500_major","sample_size","Major study: n=500","2",2,0.5,"0.50, 0.50",0.05,500,"Near-maximum precision","Diminishing returns beyond this sample size"
"kappa0_20_n100","kappa0_impact","Low null hypothesis κ0=0.20, n=100","2",2,0.2,"0.50, 0.50",0.05,100,"Wider detectable range from low base","Starting from low kappa allows detecting larger range"
"kappa0_40_n100","kappa0_impact","Moderate null hypothesis κ0=0.40, n=100","2",2,0.4,"0.50, 0.50",0.05,100,"Moderate detectable range","Mid-range kappa0 provides moderate detection window"
"kappa0_60_n100","kappa0_impact","Good null hypothesis κ0=0.60, n=100","2",2,0.6,"0.50, 0.50",0.05,100,"Narrower detectable range","Higher kappa0 limits upper detection range"
"kappa0_80_n100","kappa0_impact","High null hypothesis κ0=0.80, n=100","2",2,0.8,"0.50, 0.50",0.05,100,"Very narrow upper range","Very high kappa0 leaves little room for improvement"
"alpha_10_n100","alpha_impact","Liberal alpha α=0.10 (90% CI), n=100","2",2,0.5,"0.50, 0.50",0.1,100,"Widest detectable range","Liberal alpha allows detecting smaller differences"
"alpha_05_n100","alpha_impact","Standard alpha α=0.05 (95% CI), n=100","2",2,0.5,"0.50, 0.50",0.05,100,"Standard detectable range","Standard alpha balances precision and confidence"
"alpha_01_n100","alpha_impact","Stringent alpha α=0.01 (99% CI), n=100","2",2,0.5,"0.50, 0.50",0.01,100,"Narrower detectable range","Stringent alpha requires larger differences for detection"
"alpha_001_n100","alpha_impact","Very stringent α=0.001 (99.9% CI), n=100","2",2,0.5,"0.50, 0.50",0.001,100,"Very narrow detectable range","Extreme confidence reduces detection sensitivity"
"raters_2_n100","rater_impact","Two raters, n=100","2",2,0.5,"0.50, 0.50",0.05,100,"Baseline detection capability","Standard two-rater design"
"raters_3_n100","rater_impact","Three raters, n=100","2",3,0.5,"0.50, 0.50",0.05,100,"Improved detection vs 2 raters","More raters provide more information per subject"
"raters_4_n100","rater_impact","Four raters, n=100","2",4,0.5,"0.50, 0.50",0.05,100,"Better detection than 3 raters","Multiple raters enhance detection capability"
"raters_5_n100","rater_impact","Five raters, n=100","2",5,0.5,"0.50, 0.50",0.05,100,"Maximum rater benefit","Diminishing returns with many raters"
"cat_2_n100","category_impact","Binary (2 categories), n=100","2",2,0.5,"0.50, 0.50",0.05,100,"Best detection for given n","Binary simplest, most efficient"
"cat_3_n100","category_impact","Three categories, n=100","3",2,0.5,"0.33, 0.34, 0.33",0.05,100,"Reduced detection vs binary","More categories reduce detection capability"
"cat_4_n100","category_impact","Four categories, n=100","4",2,0.5,"0.25, 0.25, 0.25, 0.25",0.05,100,"Further reduced detection","Many categories require larger n for same detection"
"cat_5_n100","category_impact","Five categories, n=100","5",2,0.5,"0.20, 0.20, 0.20, 0.20, 0.20",0.05,100,"Lowest detection capability","Maximum categories limit detectable range"
"balanced_n100","proportion_impact","Perfectly balanced 50-50, n=100","2",2,0.5,"0.50, 0.50",0.05,100,"Optimal detection efficiency","Balanced proportions maximize detection power"
"moderate_imbal_n100","proportion_impact","Moderate imbalance 30-70, n=100","2",2,0.5,"0.30, 0.70",0.05,100,"Slightly reduced detection","Moderate imbalance has modest impact"
"severe_imbal_n100","proportion_impact","Severe imbalance 10-90, n=100","2",2,0.5,"0.10, 0.90",0.05,100,"Substantially reduced detection","Rare events greatly limit detectable range"
"extreme_imbal_n100","proportion_impact","Extreme imbalance 5-95, n=100","2",2,0.5,"0.05, 0.95",0.05,100,"Severely limited detection","Extremely rare events can barely detect differences"
