"hospital","survival_rate","complication_rate","readmission_rate","patient_satisfaction","wait_time_days"
"Hospital A",89.2648517813997,8.68391100513684,26.1443761330522,68.3537002041162,4.31672703154613
"Hospital B",72.5832590828206,14.2361051984633,18.5445839704144,87.0778388106409,9.18893601730734
"Hospital C",77.1720842775314,10.40274509037,5,80.1407361366917,12.9134709073609
"Hospital D",85.2177468412798,9.28110575031542,12.3953478025481,86.8102312274897,6.10181772063592
"Hospital E",71.2754214640233,10.6016327875574,5,88.0254499828277,20.6554001169461
"Hospital F",80.9608957880583,17.3261630018347,14.4422085692908,89.3991050456775,7.63952386867615
"Hospital G",82.5606185526594,19.8391437457281,19.2237867199783,90.3603585230776,16.7237168961266
"Hospital H",95.7686258834132,8.78443960520732,9.6330622724594,80.9540151014267,20.9634385627753
"Hospital I",82.9397064736264,12.1026087425534,7.30495924755229,79.7176102360546,4.54271195802897
"Hospital J",80.8137015947333,10.3790777081226,22.5347050449029,68.4461071730456,22.1831518058797
