"sample","category","measurement"
"S1","Group 1",39.4578271187833
"S2","Group 1",51.1488131884966
"S3","Group 1",57.5585539577688
"S4","Group 2",68.3326279349041
"S5","Group 2",70.4892728074962
"S6","Group 2",61.6796202543229
"S7","Group 3",46.1935043580401
"S8","Group 3",49.4255181586086
"S9","Group 3",39.6834016606703
"S10","Group 4",87.0118589022021
"S11","Group 4",70.1348728836981
"S12","Group 4",76.5085328272311
"S13","Group 5",68.1137842624423
"S14","Group 5",57.5533278301426
"S15","Group 5",54.545784028904
