"id","event","predictor1","predictor2","predictor3","predictor4","predictor5"
1,"No","B","Low",68.7416961339,0,50
2,"Yes","B","Low",56.9768454796196,0,28
3,"No","B","High",40.5278473612416,0,47
4,"No","A","Low",44.6437759769378,0,39
5,"No","A","Medium",43.9630206037957,1,64
6,"Yes","B","Low",31.7243056130081,0,70
7,"No","A","High",29.0649411558752,1,53
8,"No","B","High",71.068104664397,0,30
9,"No","B","Low",40.8156460776026,1,34
10,"Yes","A","Medium",62.1784836698265,1,37
11,"No","B","Low",26.430848611536,1,31
12,"No","B","Low",69.7952799055789,1,67
13,"No","B","Low",44.2935530771507,1,48
14,"No","B","Low",75.6600633116275,1,59
15,"Yes","A","Low",22.9666717809576,0,22
16,"No","A","High",27.3241884565392,1,36
17,"Yes","A","High",40.4497016828274,1,56
18,"No","A","Medium",33.7237575109587,0,77
19,"Yes","B","Low",69.889752632344,0,27
20,"Yes","B","Low",58.899574406037,1,27
21,"No","A","Low",47.4542333108754,0,58
22,"Yes","B","Medium",40.4788482587125,0,75
23,"No","B","Medium",50.384578997187,1,79
24,"No","B","Low",47.9117543211201,0,68
25,"Yes","A","Medium",56.1911021913476,1,79
26,"No","B","Low",61.6862438243543,0,21
27,"Yes","B","Medium",47.6120172452322,1,55
28,"Yes","B","High",64.5801670344428,1,58
29,"Yes","B","Low",73.9622551773412,0,27
30,"No","A","Medium",60.5713257327433,0,67
31,"Yes","A","Low",68.7695345807957,1,72
32,"No","A","Medium",60.0583221610095,0,33
33,"Yes","B","Low",64.3780941298132,0,80
34,"No","A","Low",40.6998298875184,0,50
35,"Yes","A","High",56.890461089913,0,45
36,"No","A","High",58.0348555954006,1,23
37,"No","B","High",28.3041294280819,1,79
38,"No","A","Medium",78.8253073240245,0,31
39,"No","A","Low",46.7022517552818,0,63
40,"No","B","High",21.2094799815977,1,53
41,"Yes","A","Low",55.5239110114178,1,29
42,"No","B","Low",65.5423375671099,1,56
43,"Yes","A","Low",48.8632756797373,0,33
44,"No","B","Low",51.7417600751825,1,48
45,"No","A","Medium",66.0665707255411,0,72
46,"Yes","A","Low",49.8083364809912,0,33
47,"No","A","Medium",39.548624344951,0,68
48,"No","B","High",50.5815326883865,0,63
49,"No","A","Medium",69.6764694932712,1,51
50,"Yes","B","Low",53.5944793791093,0,74
51,"No","A","Low",58.726850013235,1,21
52,"Yes","B","Low",86.9533564706803,0,36
53,"No","A","High",45.3039224612833,1,47
54,"No","B","Low",38.588168103173,0,51
55,"No","B","Medium",68.5330700739056,1,48
56,"Yes","B","Medium",30.7149059067188,1,38
57,"Yes","B","Medium",74.2301173810315,1,29
58,"No","A","High",41.2839232088707,0,48
59,"No","A","Medium",50.1948087889869,0,59
60,"Yes","B","Medium",81.9738671541593,1,54
61,"Yes","B","High",41.796740943644,0,62
62,"No","A","Low",46.7794817861596,1,48
63,"No","B","Medium",24.1243578263334,1,39
64,"Yes","B","High",28.9831869877745,0,42
65,"No","B","High",34.5208321095665,0,49
66,"No","B","High",58.7267085173151,1,39
67,"Yes","A","High",30.4270479998074,0,62
68,"No","B","Medium",51.2607099763791,0,51
69,"Yes","B","High",52.9937357705303,0,63
70,"No","B","Low",46.3572303327865,1,45
71,"Yes","A","Low",61.6754299654543,1,29
72,"No","B","Low",55.5546740858227,0,38
73,"No","A","Low",49.4060853725386,1,61
74,"No","B","Medium",52.21421145291,0,59
