"SampleID","Scenario","Ki67_HALO","Ki67_Aiforia","Ki67_Manual","Ki67_ProtocolA","Ki67_ProtocolB","Ki67_PlatformA","Ki67_PlatformB"
"EXCELLENT-001","Excellent Agreement",15.1,14.9,NA,NA,NA,NA,NA
"EXCELLENT-002","Excellent Agreement",8.6,10.5,NA,NA,NA,NA,NA
"EXCELLENT-003","Excellent Agreement",3.9,3.5,NA,NA,NA,NA,NA
"EXCELLENT-004","Excellent Agreement",10.9,13.8,NA,NA,NA,NA,NA
"EXCELLENT-005","Excellent Agreement",9.3,8.9,NA,NA,NA,NA,NA
"EXCELLENT-006","Excellent Agreement",10,13.1,NA,NA,NA,NA,NA
"EXCELLENT-007","Excellent Agreement",11.9,9.8,NA,NA,NA,NA,NA
"EXCELLENT-008","Excellent Agreement",8.1,5.4,NA,NA,NA,NA,NA
"EXCELLENT-009","Excellent Agreement",13.2,21.8,NA,NA,NA,NA,NA
"EXCELLENT-010","Excellent Agreement",8.9,8.4,NA,NA,NA,NA,NA
"EXCELLENT-011","Excellent Agreement",11.7,12.9,NA,NA,NA,NA,NA
"EXCELLENT-012","Excellent Agreement",15.5,17.6,NA,NA,NA,NA,NA
"EXCELLENT-013","Excellent Agreement",12.2,11.5,NA,NA,NA,NA,NA
"EXCELLENT-014","Excellent Agreement",8.4,10.2,NA,NA,NA,NA,NA
"EXCELLENT-015","Excellent Agreement",15.7,17.1,NA,NA,NA,NA,NA
"EXCELLENT-016","Excellent Agreement",15,15,NA,NA,NA,NA,NA
"EXCELLENT-017","Excellent Agreement",12.7,13.4,NA,NA,NA,NA,NA
"EXCELLENT-018","Excellent Agreement",11.2,11.6,NA,NA,NA,NA,NA
"EXCELLENT-019","Excellent Agreement",6.9,12.7,NA,NA,NA,NA,NA
"EXCELLENT-020","Excellent Agreement",16.8,15.4,NA,NA,NA,NA,NA
"EXCELLENT-021","Excellent Agreement",7,4.8,NA,NA,NA,NA,NA
"EXCELLENT-022","Excellent Agreement",20.9,21.5,NA,NA,NA,NA,NA
"EXCELLENT-023","Excellent Agreement",17.7,19,NA,NA,NA,NA,NA
"EXCELLENT-024","Excellent Agreement",8.8,10.4,NA,NA,NA,NA,NA
"EXCELLENT-025","Excellent Agreement",22.7,22.1,NA,NA,NA,NA,NA
"EXCELLENT-026","Excellent Agreement",26.5,24.3,NA,NA,NA,NA,NA
"EXCELLENT-027","Excellent Agreement",38.1,41.8,NA,NA,NA,NA,NA
"EXCELLENT-028","Excellent Agreement",32,31.6,NA,NA,NA,NA,NA
"EXCELLENT-029","Excellent Agreement",30.8,29.1,NA,NA,NA,NA,NA
"EXCELLENT-030","Excellent Agreement",23.6,23.5,NA,NA,NA,NA,NA
"EXCELLENT-031","Excellent Agreement",34.5,34.5,NA,NA,NA,NA,NA
"EXCELLENT-032","Excellent Agreement",25.6,28.9,NA,NA,NA,NA,NA
"EXCELLENT-033","Excellent Agreement",15,15.7,NA,NA,NA,NA,NA
"EXCELLENT-034","Excellent Agreement",30.4,32.8,NA,NA,NA,NA,NA
"EXCELLENT-035","Excellent Agreement",46,45.3,NA,NA,NA,NA,NA
"EXCELLENT-036","Excellent Agreement",28.1,29.1,NA,NA,NA,NA,NA
"EXCELLENT-037","Excellent Agreement",42.3,42,NA,NA,NA,NA,NA
"EXCELLENT-038","Excellent Agreement",15.6,16.3,NA,NA,NA,NA,NA
"EXCELLENT-039","Excellent Agreement",34.3,32.6,NA,NA,NA,NA,NA
"EXCELLENT-040","Excellent Agreement",41.2,38.4,NA,NA,NA,NA,NA
"EXCELLENT-041","Excellent Agreement",38.6,44.1,NA,NA,NA,NA,NA
"EXCELLENT-042","Excellent Agreement",36.3,38.3,NA,NA,NA,NA,NA
"EXCELLENT-043","Excellent Agreement",27.3,24.7,NA,NA,NA,NA,NA
"EXCELLENT-044","Excellent Agreement",24.8,23.8,NA,NA,NA,NA,NA
"EXCELLENT-045","Excellent Agreement",22.7,20.2,NA,NA,NA,NA,NA
"EXCELLENT-046","Excellent Agreement",36.4,42.4,NA,NA,NA,NA,NA
