"SampleID","Scenario","HALO_Score","Aiforia_Score","ImageJ_Score"
"MISSING-001","Missing Data",36.8,72.6,24.9
"MISSING-002","Missing Data",5.7,38.2,31.3
"MISSING-003","Missing Data",88.3,6.3,72.1
"MISSING-004","Missing Data",37.1,68.2,NA
"MISSING-005","Missing Data",88.8,NA,83.4
"MISSING-006","Missing Data",16.9,50.2,17.6
"MISSING-007","Missing Data",52.8,15.4,23.4
"MISSING-008","Missing Data",72.5,NA,58.2
"MISSING-009","Missing Data",21.5,NA,26.9
"MISSING-010","Missing Data",65.4,72.8,65.1
"MISSING-011","Missing Data",53.1,61.3,68.1
"MISSING-012","Missing Data",5.9,25.8,27.3
"MISSING-013","Missing Data",26.8,NA,53.7
"MISSING-014","Missing Data",NA,NA,82.8
"MISSING-015","Missing Data",83.8,NA,65.2
"MISSING-016","Missing Data",89.6,75.8,76.8
"MISSING-017","Missing Data",22.8,27.3,83.2
"MISSING-018","Missing Data",51.3,9.7,30
"MISSING-019","Missing Data",59.9,NA,60.3
"MISSING-020","Missing Data",81.6,54.3,17.1
"MISSING-021","Missing Data",NA,73.4,77.6
"MISSING-022","Missing Data",56.8,33.9,61.6
"MISSING-023","Missing Data",24.1,NA,67.3
"MISSING-024","Missing Data",82.9,70.8,31.8
"MISSING-025","Missing Data",NA,79.6,NA
"MISSING-026","Missing Data",31.6,NA,44.4
"MISSING-027","Missing Data",NA,60.7,NA
"MISSING-028","Missing Data",60.9,26.6,NA
"MISSING-029","Missing Data",67.5,59.5,81.6
"MISSING-030","Missing Data",44.5,NA,49.8
"MISSING-031","Missing Data",78.4,NA,18.4
"MISSING-032","Missing Data",62.4,56.5,27.9
"MISSING-033","Missing Data",18.7,87.8,16.4
"MISSING-034","Missing Data",6,21.9,NA
"MISSING-035","Missing Data",NA,42,66.5
"MISSING-036","Missing Data",13.6,33.9,58.3
"MISSING-037","Missing Data",NA,7.9,NA
"MISSING-038","Missing Data",NA,13.4,NA
"MISSING-039","Missing Data",57.3,40.6,50
"MISSING-040","Missing Data",33.8,9,NA
"MISSING-041","Missing Data",54.3,7.3,NA
"MISSING-042","Missing Data",75.5,19.7,59
"MISSING-043","Missing Data",33.4,NA,70.8
"MISSING-044","Missing Data",37.5,55,20.2
"MISSING-045","Missing Data",NA,33.6,38.7
"MISSING-046","Missing Data",47.1,47,86.8
"MISSING-047","Missing Data",14.3,68.9,NA
"MISSING-048","Missing Data",76.9,19.4,11.6
"MISSING-049","Missing Data",42.9,76.7,50
"MISSING-050","Missing Data",68.8,32.2,85.7
