"id","group","category","measurement","score"
1,"Group C","Type 1",47.0646999146207,77.7452745137325
2,"Group C","Type 2",66.1522551358952,67.193143423948
3,"Group A","Type 2",62.1568652236923,80.1256594995646
4,"Group C","Type 2",67.0354310738367,100
5,"Group B","Type 1",66.3886660886978,82.3037681711834
6,"Group B","Type 1",56.8314489792701,79.1599414196156
7,"Group C","Type 1",54.3862801881281,66.4427226583498
8,"Group C","Type 1",55.1137062626885,63.3676987464992
9,"Group C","Type 1",47.2543290315539,56.117808553605
10,"Group A","Type 1",48.2241046230134,76.727670177892
11,"Group B","Type 2",47.7049951070685,71.6197524325925
12,"Group B","Type 2",70.8388786153842,68.1082403175143
13,"Group A","Type 2",49.2695365094636,86.8294665992489
14,"Group C","Type 2",58.0494294372616,69.4425821696243
15,"Group C","Type 1",57.167188161176,86.045756463254
16,"Group B","Type 2",62.5745509387037,74.9639935335285
17,"Group C","Type 2",68.090916024634,81.2850148958944
18,"Group C","Type 1",63.6019174181645,48.2976257030175
19,"Group A","Type 1",47.4153054945755,81.8820462784766
20,"Group A","Type 1",53.2749785676594,75.012753156462
21,"Group C","Type 1",60.8733768073145,84.723663335079
22,"Group C","Type 1",39.096830662087,79.5276018250718
23,"Group C","Type 1",53.8838453426838,50.7362320364792
24,"Group C","Type 1",47.2551379343515,60.9915222802334
25,"Group C","Type 1",55.6205228712451,68.8076555262366
26,"Group A","Type 2",49.2558131855147,79.7761299348019
27,"Group B","Type 2",60.7004985972639,41.925839032561
28,"Group C","Type 2",71.3053156718352,100
29,"Group C","Type 1",50.3374858287472,92.9191303316871
30,"Group C","Type 1",60.6170226063672,58.5193055936967
