"scenario","test1_name","test1_sens","test1_spec","test1_cost","test2_name","test2_sens","test2_spec","test2_cost","prevalence","optimal_strategy","clinical_setting"
"COVID-19 Screening","Rapid Antigen",0.85,0.95,5,"RT-PCR",0.95,0.99,100,0.05,"serial_positive","Community screening"
"Breast Cancer Screening","Mammography",0.87,0.88,100,"Biopsy",0.95,0.98,500,0.006,"serial_positive","Population screening"
"MI Emergency","Troponin",0.95,0.85,50,"ECG",0.9,0.92,100,0.15,"parallel","Emergency department"
"TB Screening","Chest X-ray",0.7,0.92,30,"Sputum Culture",0.85,0.98,80,0.02,"serial_positive","High-risk screening"
"Prostate Cancer","PSA",0.9,0.7,40,"MRI",0.85,0.88,1200,0.25,"serial_negative","Screening + exclusion"
"HIV Screening","ELISA",0.995,0.995,30,"Western Blot",0.999,0.999,200,0.001,"serial_positive","Blood donor screening"
"Stroke Emergency","Clinical Assessment",0.85,0.75,0,"CT Scan",0.92,0.95,800,0.1,"parallel","Emergency department"
"Colorectal Cancer","FOBT",0.75,0.95,10,"Colonoscopy",0.95,0.99,1500,0.05,"serial_positive","Average-risk screening"
"Pregnancy Test","Home Pregnancy Test",0.99,0.98,10,"Blood hCG",0.999,0.999,50,0.5,"serial_positive","Home testing"
"Strep Throat","Rapid Strep",0.86,0.95,15,"Throat Culture",0.99,0.99,40,0.3,"serial_positive","Outpatient clinic"
