source,target,weight,group
Alice,Bob,7.5,Family
Alice,Jack,3.1,Family
Bob,Diana,1.1,Family
Bob,Henry,3.7,Family
Bob,Jack,3.7,Family
Charlie,Frank,2.8,Family
Charlie,Jack,3.8,Family
Eve,Bob,3.8,Friends
Eve,Grace,2.9,Friends
Eve,Henry,1.9,Friends
Frank,Eve,8.9,Friends
Frank,Henry,1.6,Friends
Grace,Alice,2.5,Colleagues
Grace,Eve,2,Colleagues
Grace,Frank,3,Colleagues
Grace,Henry,7.3,Colleagues
Henry,Eve,2.7,Colleagues
Henry,Frank,3.8,Colleagues
Ivy,Grace,9.8,Colleagues
Jack,Grace,8.7,Colleagues
Jack,Henry,6.3,Colleagues
