"time","event","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
1.7,"1",1.29,1.2544,1.5097,0.5922,0.7964,-0.6954,0.5643,0.1052,-0.5908,-1.6105
5.7,"1",-0.2285,-0.2716,-0.1208,0.1465,0.2781,0.2296,-0.2111,0.8943,-1.501,0.4028
9.1,"1",0.7565,0.7766,0.6625,-0.71,-0.5706,1.1661,0.535,0.9469,1.3874,0.166
18.3,"1",0.091,0.0216,-0.0168,0.3575,0.3798,-1.2699,0.7772,-1.8129,-0.7607,-0.9433
8.3,"0",0.0544,0.184,-0.0662,-0.5764,-0.6796,-0.8792,-1.3269,-0.9403,1.6871,-0.3044
22.9,"0",-0.0611,-0.0789,0.1538,1.1234,0.9796,-0.1527,0.6295,-0.822,-0.836,0.4536
16.9,"1",-0.2865,-0.293,-0.1467,0.8784,1.0609,-0.5647,0.4277,-1.9111,-0.5291,0.8089
1.4,"1",-0.0242,0.0748,-0.2395,1.6816,1.4026,0.0696,0.49,1.2106,0.0561,0.373
13.5,"0",-0.0453,3e-04,0.0877,0.8789,1.0946,-0.2302,0.2146,-1.0187,0.719,0.4155
8.3,"1",0.4766,0.4467,0.4429,-0.7781,-0.7763,-1.0144,1.8845,-0.7504,-2.5139,-0.4152
25.5,"0",1.2742,1.2408,1.1835,0.0271,0.226,-0.7253,0.3215,-0.6012,0.7685,0.5839
11.4,"1",0.9699,0.9557,1.1631,0.6143,0.7636,-0.1543,1.6345,0.2812,1.3246,-0.9121
4.5,"1",2.1092,2.1533,2.1942,-1.1631,-1.4644,0.2352,-0.0588,0.0046,0.1837,0.8669
27.2,"1",0.6213,0.5214,0.459,-0.4963,-0.3885,-0.522,-1.2558,0.5584,0.2294,-0.1699
52.9,"0",0.3133,0.2784,9e-04,-0.0928,0.0764,-0.1152,-0.1231,1.914,-0.0519,0.73
6.5,"1",-0.1195,-0.1159,-0.4196,0.3708,0.5936,1.0438,0.1656,0.0819,0.1049,-0.59
