"Case_ID","Rater_1","Rater_2","Rater_3"
"PERF_01","Malignant","Malignant","Malignant"
"PERF_02","Benign","Benign","Benign"
"PERF_03","Malignant","Malignant","Malignant"
"PERF_04","Malignant","Malignant","Malignant"
"PERF_05","Benign","Benign","Benign"
"PERF_06","Benign","Benign","Benign"
"PERF_07","Malignant","Malignant","Malignant"
"PERF_08","Benign","Benign","Benign"
"PERF_09","Benign","Benign","Benign"
"PERF_10","Malignant","Malignant","Malignant"
"PERF_11","Malignant","Malignant","Malignant"
"PERF_12","Malignant","Malignant","Malignant"
"PERF_13","Malignant","Malignant","Malignant"
"PERF_14","Malignant","Malignant","Malignant"
"PERF_15","Benign","Benign","Benign"
"PERF_16","Benign","Benign","Benign"
"PERF_17","Malignant","Malignant","Malignant"
"PERF_18","Malignant","Malignant","Malignant"
"PERF_19","Benign","Benign","Benign"
"PERF_20","Malignant","Malignant","Malignant"
