"SampleID","Scenario","Ki67_HALO","Ki67_Aiforia","Ki67_ImageJ","Ki67_Manual"
"MULTI-001","Multi-Method",8.4,5.7,11.3,18.5
"MULTI-002","Multi-Method",10.9,14.7,9.5,2.9
"MULTI-003","Multi-Method",14.5,10.5,15.6,17.6
"MULTI-004","Multi-Method",5.5,9.9,5,11.9
"MULTI-005","Multi-Method",1.5,3.5,4.1,0.7
"MULTI-006","Multi-Method",19.5,16.6,18.5,22.1
"MULTI-007","Multi-Method",8.1,8.5,12.6,11.5
"MULTI-008","Multi-Method",6.7,7.2,3.2,14.8
"MULTI-009","Multi-Method",10.1,11.1,8.6,14.1
"MULTI-010","Multi-Method",2.8,2.7,1.5,2.3
"MULTI-011","Multi-Method",5.8,3.1,2.1,11.7
"MULTI-012","Multi-Method",0.5,0.4,0,7.8
"MULTI-013","Multi-Method",6.9,6.5,6.2,2.5
"MULTI-014","Multi-Method",10.8,13.1,8.9,3.5
"MULTI-015","Multi-Method",3.1,5.8,0,5.3
"MULTI-016","Multi-Method",10.6,9.3,15.5,11
"MULTI-017","Multi-Method",9,11.7,11.2,6.2
"MULTI-018","Multi-Method",8.7,4.8,15,6.8
"MULTI-019","Multi-Method",9.5,10.2,12.6,4.3
"MULTI-020","Multi-Method",10.7,12.1,10.2,13.8
"MULTI-021","Multi-Method",7.2,19.2,24.4,11.1
"MULTI-022","Multi-Method",4,4.7,19.5,13.9
"MULTI-023","Multi-Method",7.5,8.4,3.8,21.7
"MULTI-024","Multi-Method",8.1,3.7,10.5,5.1
"MULTI-025","Multi-Method",14.3,15.7,13.9,21.1
"MULTI-026","Multi-Method",42.9,44.5,43,47.4
"MULTI-027","Multi-Method",38,42.5,40.3,40
"MULTI-028","Multi-Method",29.6,22.8,23.1,26.9
"MULTI-029","Multi-Method",31.9,35.3,35.9,43.6
"MULTI-030","Multi-Method",31.6,38.5,42,26
"MULTI-031","Multi-Method",17.1,19,19.9,18.4
"MULTI-032","Multi-Method",14.2,12.7,13.1,7.5
"MULTI-033","Multi-Method",36.3,36.8,43,45.4
"MULTI-034","Multi-Method",16.3,16.1,19.3,15.8
"MULTI-035","Multi-Method",29.5,32.2,24.4,29.4
"MULTI-036","Multi-Method",31.3,36.3,34.4,50.4
"MULTI-037","Multi-Method",34.9,35.9,43.3,37.4
"MULTI-038","Multi-Method",28.2,32.9,38.6,31.7
"MULTI-039","Multi-Method",20.3,29.4,25.4,26.2
"MULTI-040","Multi-Method",37,41.4,43.7,34
"MULTI-041","Multi-Method",49.5,48.4,43.6,51.8
"MULTI-042","Multi-Method",37.6,36,41,40.3
"MULTI-043","Multi-Method",12.1,11.1,7.7,14.9
"MULTI-044","Multi-Method",47,43.9,43.2,41.1
"MULTI-045","Multi-Method",29.1,29.9,34.2,26.3
"MULTI-046","Multi-Method",35.8,34.3,31.7,33.8
"MULTI-047","Multi-Method",32.7,35,38.3,34.4
"MULTI-048","Multi-Method",27.4,27.7,31.7,37.5
"MULTI-049","Multi-Method",29.4,29.2,30.5,39.1
"MULTI-050","Multi-Method",40.8,44.1,48.5,41.4
"MULTI-051","Multi-Method",35.6,40.2,34,37.3
"MULTI-052","Multi-Method",45.3,39.5,43.3,40.3
"MULTI-053","Multi-Method",52.9,50.1,54.5,56.2
"MULTI-054","Multi-Method",36.8,35,36.6,39.1
"MULTI-055","Multi-Method",33.4,31.4,34.9,35.5
"MULTI-056","Multi-Method",7.8,8.7,4.8,6.2
"MULTI-057","Multi-Method",55.6,55.8,52.7,54.7
"MULTI-058","Multi-Method",27.3,30.7,24.2,33.2
"MULTI-059","Multi-Method",57,53.6,61.8,53
"MULTI-060","Multi-Method",33.7,31.2,35,37.3
"MULTI-061","Multi-Method",74.6,73.6,75.8,75.2
"MULTI-062","Multi-Method",53.5,51.7,53.9,50.9
"MULTI-063","Multi-Method",63.2,62,64,66.1
"MULTI-064","Multi-Method",55.3,58.7,54.8,60.4
"MULTI-065","Multi-Method",57.4,54.2,58.4,61.8
"MULTI-066","Multi-Method",52.3,50,56.9,56.1
"MULTI-067","Multi-Method",64.2,68.2,64.9,67.5
"MULTI-068","Multi-Method",51.9,53.9,53.8,56
"MULTI-069","Multi-Method",30.8,27.5,34.4,26.6
"MULTI-070","Multi-Method",55.9,55.5,55.9,50.5
