"sample_id","data_source","start_date_mixed","end_date_mixed","data_quality_flag","operator_id","verification_status"
"MX_001","Electronic Import","Invalid","2021-12-31","Low","OP_6","Verified"
"MX_002","Manual Entry","2021-13-45","2022-01-15","High","OP_2","Verified"
"MX_003","Scanner OCR","32/15/2021","15/12/2021","High","OP_5","Verified"
"MX_004","Legacy System","2021-09-10","2023-01-27","Medium","OP_1","Verified"
"MX_005","Scanner OCR","03/27/2022","06/12/2023","Medium","OP_2","Verified"
"MX_006","Legacy System","2022/25/03","2023/10/06","High","OP_3","Verified"
"MX_007","Manual Entry","2022/11/10","2024/10/09","Medium","OP_8","Verified"
"MX_008","Electronic Import","24/02/2022","23/08/2023","High","OP_5","Flagged"
"MX_009","Electronic Import","01/27/2023","08/27/2024","High","OP_4","Verified"
"MX_010","Manual Entry","05/20/2021","11/02/2022","Medium","OP_3","Verified"
"MX_011","Manual Entry","2023/02/02","2024/21/08","Medium","OP_9","Verified"
"MX_012","Manual Entry","06/16/2021","01/03/2023","Low","OP_1","Verified"
"MX_013","Legacy System","03/07/2021","13/09/2021","Low","OP_1","Verified"
"MX_014","Legacy System","12/06/2022","10/27/2024","High","OP_1","Flagged"
"MX_015","Electronic Import","23/02/2022","23/04/2023","Low","OP_5","Verified"
"MX_016","Manual Entry","06/07/2021","10/30/2022","Medium","OP_4","Verified"
"MX_017","Scanner OCR","07/17/2022","09/30/2022","Medium","OP_1","Verified"
"MX_018","Electronic Import","2023/07/02","2024/07/03","High","OP_2","Flagged"
"MX_019","Manual Entry","2023/21/03","2024/29/07","Low","OP_6","Verified"
"MX_020","Electronic Import","2021/09/06","2021/11/11","High","OP_3","Verified"
"MX_021","Scanner OCR","03/07/2021","11/08/2021","Medium","OP_9","Pending"
"MX_022","Legacy System","02/17/2023","12/03/2024","High","OP_7","Verified"
"MX_023","Manual Entry","27/04/2022","06/12/2023","High","OP_3","Verified"
"MX_024","Electronic Import","02/05/2023","01/31/2025","High","OP_5","Verified"
"MX_025","Scanner OCR","05/07/2021","29/11/2021","Low","OP_3","Flagged"
"MX_026","Manual Entry","12/03/2021","23/04/2022","High","OP_7","Verified"
"MX_027","Manual Entry","14/08/2021","05/07/2023","High","OP_9","Verified"
"MX_028","Scanner OCR","2023/06/04","2023/29/08","High","OP_4","Verified"
"MX_029","Scanner OCR","2021-05-31","2022-12-04","High","OP_8","Verified"
"MX_030","Manual Entry","07/03/2022","28/01/2023","High","OP_5","Verified"
"MX_031","Manual Entry","12/06/2021","03/07/2022","High","OP_7","Pending"
"MX_032","Legacy System","09/04/2021","11/17/2021","Medium","OP_3","Pending"
"MX_033","Legacy System","28/12/2022","02/02/2024","Low","OP_3","Verified"
"MX_034","Electronic Import","12/20/2021","06/07/2023","Low","OP_2","Verified"
"MX_035","Legacy System","2022-01-02","2023-03-16","Low","OP_3","Verified"
"MX_036","Scanner OCR","2023-06-13","2023-08-19","High","OP_6","Verified"
"MX_037","Electronic Import","12/03/2022","06/24/2023","Medium","OP_5","Verified"
"MX_038","Legacy System","2021/25/11","2022/14/06","High","OP_2","Verified"
"MX_039","Legacy System","13/06/2023","03/06/2025","Medium","OP_10","Pending"
"MX_040","Electronic Import","2021-12-13","2023-05-04","Low","OP_10","Verified"
"MX_041","Legacy System","12/05/2022","10/09/2022","High","OP_6","Verified"
"MX_042","Legacy System","2023-01-26","2024-09-20","Medium","OP_10","Verified"
"MX_043","Legacy System","2023-06-01","2024-10-08","Medium","OP_1","Verified"
"MX_044","Legacy System","10/22/2021","01/10/2023","High","OP_6","Pending"
"MX_045","Manual Entry","2021-01-14","2022-04-29","Medium","OP_6","Verified"
"MX_046","Scanner OCR","06/23/2021","04/10/2023","High","OP_8","Verified"
"MX_047","Legacy System","07/01/2022","05/05/2023","High","OP_2","Verified"
"MX_048","Scanner OCR","03/05/2023","10/03/2023","High","OP_7","Verified"
"MX_049","Legacy System","2021-10-03","2022-06-18","Medium","OP_2","Pending"
"MX_050","Legacy System","08/07/2021","29/10/2022","High","OP_4","Flagged"
"MX_051","Electronic Import","2022-08-11","2022-11-29","High","OP_1","Flagged"
"MX_052","Electronic Import","23/02/2021","15/11/2021","High","OP_1","Verified"
"MX_053","Manual Entry","2022/31/05","2022/23/09","Medium","OP_5","Verified"
"MX_054","Scanner OCR","09/12/2022","18/05/2023","Medium","OP_5","Verified"
"MX_055","Scanner OCR","04/17/2022","09/09/2022","High","OP_1","Pending"
"MX_056","Scanner OCR","15/05/2022","30/03/2024","Medium","OP_4","Verified"
"MX_057","Manual Entry","06/15/2023","09/02/2024","Medium","OP_9","Verified"
"MX_058","Electronic Import","02/12/2022","10/10/2023","High","OP_8","Verified"
"MX_059","Scanner OCR","2022/15/11","2023/23/07","High","OP_4","Pending"
"MX_060","Manual Entry","10/29/2022","06/06/2024","Medium","OP_6","Verified"
"MX_061","Legacy System","2021-01-02","2021-05-09","Medium","OP_4","Verified"
"MX_062","Electronic Import","08/05/2022","11/02/2024","Low","OP_2","Pending"
"MX_063","Manual Entry","03/31/2021","02/21/2022","High","OP_9","Verified"
"MX_064","Manual Entry","03/23/2021","03/20/2023","Medium","OP_6","Verified"
"MX_065","Electronic Import","2022/11/09","2023/19/07","Low","OP_9","Pending"
"MX_066","Manual Entry","2022-03-11","2023-05-30","Low","OP_3","Pending"
"MX_067","Electronic Import","2023-01-03","2023-08-18","Medium","OP_6","Verified"
"MX_068","Electronic Import","2022/23/11","2023/20/12","Medium","OP_10","Verified"
"MX_069","Legacy System","2021-03-19","2022-10-25","Medium","OP_7","Verified"
"MX_070","Scanner OCR","2021-07-12","2022-08-17","High","OP_5","Verified"
"MX_071","Electronic Import","2021/07/10","2023/23/01","Medium","OP_2","Verified"
"MX_072","Scanner OCR","2021-09-07","2023-01-23","High","OP_7","Verified"
"MX_073","Manual Entry","05/16/2022","09/11/2022","High","OP_9","Verified"
"MX_074","Scanner OCR","08/22/2021","08/15/2022","Low","OP_1","Verified"
"MX_075","Electronic Import","2022-07-06","2022-11-10","Low","OP_4","Pending"
"MX_076","Scanner OCR","2023-04-17","2023-09-15","High","OP_9","Verified"
"MX_077","Manual Entry","02/23/2021","04/26/2021","High","OP_3","Verified"
"MX_078","Manual Entry","2021/02/09","2022/24/12","Medium","OP_6","Pending"
"MX_079","Electronic Import","28/03/2022","07/07/2022","Low","OP_10","Verified"
"MX_080","Manual Entry","07/03/2021","12/30/2021","High","OP_8","Verified"
"MX_081","Electronic Import","2021/22/10","2023/31/03","Medium","OP_3","Verified"
"MX_082","Manual Entry","2023-03-03","2023-11-18","Medium","OP_2","Verified"
"MX_083","Manual Entry","25/04/2022","27/12/2023","High","OP_4","Verified"
"MX_084","Manual Entry","01/10/2023","11/02/2023","Medium","OP_1","Verified"
"MX_085","Scanner OCR","2021/01/07","2023/03/03","Medium","OP_5","Pending"
"MX_086","Manual Entry","03/08/2022","13/10/2023","High","OP_9","Pending"
"MX_087","Scanner OCR","2023/29/05","2024/29/04","High","OP_8","Verified"
"MX_088","Manual Entry","2021/24/03","2022/23/07","High","OP_9","Verified"
"MX_089","Manual Entry","2021-03-04","2021-04-17","Medium","OP_9","Verified"
"MX_090","Manual Entry","2022-11-05","2023-09-27","High","OP_1","Pending"
"MX_091","Manual Entry","2022-08-02","2023-02-16","High","OP_4","Verified"
"MX_092","Electronic Import","28/05/2023","12/03/2025","High","OP_3","Verified"
"MX_093","Scanner OCR","24/01/2023","16/05/2023","Medium","OP_6","Verified"
"MX_094","Electronic Import","2023/09/06","2025/19/04","High","OP_5","Flagged"
"MX_095","Electronic Import","04/17/2022","07/19/2022","Low","OP_4","Verified"
"MX_096","Legacy System","14/08/2021","14/06/2022","Medium","OP_3","Verified"
"MX_097","Scanner OCR","30/03/2022","25/12/2023","Medium","OP_10","Verified"
"MX_098","Electronic Import","2022/28/06","2023/12/06","Low","OP_3","Verified"
"MX_099","Electronic Import","2022-03-20","2023-06-20","Medium","OP_8","Verified"
"MX_100","Electronic Import","12/21/2022","07/08/2023","Low","OP_7","Verified"
