"id","group","value_numeric","value_integer","category_binary","category_small","score"
1,"B",41.5,72,"Yes","Z",2.1
2,"A",51,88,"No","Y",4.4
3,"C",45.6,53,"Yes","Y",8.7
4,"A",59.8,81,"No","Z",1.4
5,"A",38.2,68,"Yes","X",3.2
6,"C",49,7,"No","Z",6.1
7,"C",NA,26,"No","Z",2
8,"B",31.9,93,"No","Z",8.5
9,"B",47.5,61,"No","Z",8.4
10,"B",40.8,9,"Yes","Z",4.5
11,"A",43.3,26,"Yes","X",5.2
12,"A",57.1,8,"No","X",4.1
13,"B",58,39,"No","Y",6.2
14,"C",37.2,95,"Yes","X",9.7
15,"C",49,71,"Yes","X",5
16,"C",34.2,20,"No","X",2.1
17,"A",58.4,45,"Yes","Y",2.8
18,"B",44.4,97,"Yes","Z",3.8
19,"B",59.9,48,"No","X",3.4
20,"B",37.4,4,"No","X",2.8
