"option","default","changed","changed_outputs","context","contextual_outputs","context_numbers","primary_changed","error","notices","elapsed"
"clinical_preset","custom","cardio_prevention","","NULL","","",FALSE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.014
"analysis_type","sample_size","power","instructions;power_summary;sample_size_results;power_results;regulatory_table;power_curve_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0130000000000001
"test_type","log_rank","cox_regression","notices;instructions;power_summary;regulatory_table;power_curve_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Cox Regression with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0169999999999999
"study_design","two_arm_parallel","multi_arm","notices;power_summary;multi_arm_table;regulatory_table;power_curve_plot;sample_size_plot","NULL","","",TRUE,"","WARNING: Multiplicity Approximation
Holm/Dunnett adjustments are approximated conservatively using Bonferroni in current calculations

Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0229999999999999
"primary_endpoint","overall_survival","progression_free_survival","notices;power_summary","NULL","","",FALSE,"","Analysis Complete
Power analysis completed: Log-rank Test with progression-free survival endpoint • Assumes exponential survival and uniform accrual",0.014
"effect_size_type","hazard_ratio","median_ratio","instructions;power_summary;sample_size_results;regulatory_table;power_curve_plot;sample_size_plot;survival_curves_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0130000000000001
"effect_size","0.75","0.6","instructions;power_summary;sample_size_results;regulatory_table;power_curve_plot;sample_size_plot;survival_curves_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0149999999999999
"alpha_level","0.05","0.025","power_summary;sample_size_results;regulatory_table;power_curve_plot;sample_size_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.018
"power_level","0.8","0.9","power_summary;sample_size_results;regulatory_table;power_curve_plot;sample_size_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0169999999999999
"allocation_ratio","1","2","notices;power_summary;sample_size_results;regulatory_table;power_curve_plot;sample_size_plot","NULL","","",TRUE,"","Unequal Allocation Approximation
With unequal allocation the Schoenfeld approximation used here (as in gsDesign) can overstate power by a few percentage points, about 2 points at 2:1 and HR 0.75 against simulation • Confirm with Simulation validation

Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0130000000000001
"sample_size_input","200","400","","list(analysis_type = ""power"")","power_summary;power_results;power_curve_plot","List of 2  $ old:List of 2   ..$ power : num 0.376   ..$ events: num 130  $ new:List of 2   ..$ power : num 0.642   ..$ events: num 261",FALSE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0129999999999999
"control_median_survival","12","18","power_summary;assumptions_table;regulatory_table;power_curve_plot;sample_size_plot;survival_curves_plot","NULL","","",TRUE,"","Analysis Complete
Power analysis completed: Log-rank Test with overall survival endpoint • Assumes exponential survival and uniform accrual",0.0129999999999999
"survival_distribution","exponential","weibull","notices;power_summary;sample_size_results;assumptions_table;regulatory_table;power_curve_plot;sample_size_plot;survival_curves_plot;accrual_timeline_plot","NULL","","",TRUE,"","ERROR: Distribution Not Supported
Only exponential survival distribution is validated in this release • Select ""Exponential"" to proceed",0.00800000000000001
