"output","type","setter","line","visible","renderer","populated","example_scenario","missing_data_clearWith"
"notices","Preformatted","setContent",77,"default","",TRUE,"default",""
"instructions","Html","setContent",563,"TRUE","",TRUE,"default",""
"power_summary","Table","setRow",651,"TRUE","",TRUE,"default",""
"simulation_validation_table","Table","setRow",1481,"(run_simulation_validation)","",TRUE,"run_simulation_validation",""
"sample_size_results","Table","setRow",1598,"(analysis_type==""sample_size"")","",TRUE,"default",""
"power_results","Table","setRow",1641,"(analysis_type==""power"")","",TRUE,"analysis_type",""
"effect_size_results","Table","setRow",1713,"(analysis_type==""effect_size"")","",TRUE,"effect_size",""
"study_duration_results","Table","setRow",1774,"(analysis_type==""duration"")","",TRUE,"duration",""
"assumptions_table","Table","setRow",2287,"TRUE","",TRUE,"default",""
"non_inferiority_table","Table","setRow",1857,"(test_type==""non_inferiority"")","",TRUE,"ni_margin_context",""
"multi_arm_table","Table","setRow",1958,"(study_design==""multi_arm"")","",TRUE,"study_design",""
"interim_analysis_table","Table","setRow",2002,"(interim_analyses>0)","",TRUE,"interim_analyses_context",""
"sensitivity_analysis_table","Table","setRow",2125,"(sensitivity_analysis)","",TRUE,"sensitivity_analysis",""
"regulatory_table","Table","setRow",2722,"TRUE","",TRUE,"default",""
"power_curve_plot","Image","setState",2750,"TRUE",".plot_power_curves",TRUE,"default",""
"sample_size_plot","Image","setState",2777,"(analysis_type==""sample_size"")",".plot_sample_size_curves",TRUE,"default",""
"survival_curves_plot","Image","setState",2804,"TRUE",".plot_expected_survival",TRUE,"default",""
"accrual_timeline_plot","Image","setState",2831,"TRUE",".plot_study_timeline",TRUE,"default",""
"sensitivity_plot","Image","setState",2859,"(sensitivity_analysis)",".plot_sensitivity_analysis",TRUE,"sensitivity_analysis",""
"clinical_interpretation","Html","setContent",2313,"(show_interpretation)","",TRUE,"show_interpretation",""
"natural_language_summary","Html","setContent",4376,"(show_summary)","",TRUE,"show_summary",""
"educational_explanations","Html","setContent",4420,"(show_explanations)","",TRUE,"show_explanations",""
"statistical_glossary","Html","setContent",4458,"(show_glossary)","",TRUE,"show_glossary",""
"guided_workflow","Html","setContent",4491,"(guided_mode)","",TRUE,"guided_mode",""
