option,schema_type,default,ui,ui_group,enable,a_line,u_line,backend,b_line,purpose,results
clinical_preset,List,"""custom""",ComboBox,Analysis Configuration,True,35,15,.apply_clinical_preset,4178,UI callback fills explicit options; R calls only disclose the chosen worked example,notices; instructions; UI controls
analysis_type,List,"""sample_size""",ComboBox,Analysis Configuration,True,60,20,.calculate_primary_result,837,"Dispatch sample size, power, detectable HR or duration",Primary; all result visibility
test_type,List,"""log_rank""",ComboBox,Analysis Configuration,True,76,22,.calculate_primary_result,837,"Log-rank, Lachin-Foulkes/Cox or NI; four unsupported choices stop visibly",Primary; specialized tables; notices
study_design,List,"""two_arm_parallel""",ComboBox,Analysis Configuration,True,99,26,.adjust_sample_for_design,3423,"Two-arm, common-control multi-arm or approximate cluster scaling; stratified caveat; crossover blocked",Primary; multi_arm_table; notices
primary_endpoint,List,"""overall_survival""",ComboBox,Analysis Configuration,True,117,28,.format_primary_endpoint,818,Endpoint labels only; does not infer a different event model,power_summary; clinical_interpretation; natural_language_summary
effect_size_type,List,"""hazard_ratio""",ComboBox,Statistical Parameters,(!(test_type:non_inferiority && analysis_type:effect_size)),136,38,.get_effect_hr,3011,"Convert HR, reciprocal median ratio, landmark survival difference or exponential RMST difference; ignored for NI inverse",Primary; survival_curves_plot
effect_size,Number,0.75,TextBox,Statistical Parameters,(!(effect_size_type:rmst_difference) && !(test_type:non_inferiority && analysis_type:effect_size)),152,41,.get_effect_hr,3011,"Assumed effect, or direction for superiority HR inversion; unused in NI inversion",Primary; all relevant plots
alpha_level,Number,0.05,TextBox,Statistical Parameters,True,170,47,.adjust_alpha_for_multiplicity,3398,Two-sided superiority / one-sided NI; multiplicity and interim boundaries,Primary; regulatory_table; interim_analysis_table; multi_arm_table
power_level,Number,0.8,TextBox,Statistical Parameters,(!(analysis_type:power)),179,52,.calculate_primary_result,837,"Planning target for sample size, HR and duration; target line where applicable",Primary; power_curve_plot; narratives
allocation_ratio,Number,1.0,TextBox,Statistical Parameters,True,188,58,.allocation_props,3474,Control:each-experimental allocation; inverse passed to gsDesign,Primary; multi_arm_table; simulation_validation_table
sample_size_input,Integer,200,TextBox,Statistical Parameters,(!(analysis_type:sample_size)),197,62,.resolved_design,266,"Known total enrollment for power, HR and duration modes",power_results; effect_size_results; study_duration_results; plots
control_median_survival,Number,12.0,TextBox,Survival Distribution Parameters,True,207,75,.get_distribution_parameters,3316,"Control hazard log(2)/median, exponential model",Primary; survival_curves_plot; assumptions_table
survival_distribution,List,"""exponential""",ComboBox,Survival Distribution Parameters,True,216,79,.validate_inputs,372,Only exponential accepted; other listed distributions stop before estimates,notices; assumptions_table; Primary
weibull_shape,Number,1.0,TextBox,Survival Distribution Parameters,(survival_distribution:weibull),237,81,.get_distribution_parameters,3316,Dormant for released calculations: Weibull is blocked; retained helper/preset compatibility,notices when Weibull chosen; no supported-mode numeric effect
accrual_period,Number,24.0,TextBox,Study Timeline,True,247,94,.event_probability,3488,Uniform-entry integration and recruitment duration,Primary; accrual_timeline_plot; sensitivity outputs
follow_up_period,Number,12.0,TextBox,Study Timeline,True,256,98,.event_probability,3488,Additional follow-up after recruitment; landmark for survival-difference conversion; duration initial search,Primary; survival_curves_plot; accrual_timeline_plot
accrual_pattern,List,"""uniform""",ComboBox,Study Timeline,True,265,102,.validate_inputs,372,Uniform entry only; other selections rejected,notices; assumptions_table
dropout_rate,Number,0.05,TextBox,Study Timeline,True,281,104,.dropout_hazard,3481,Annual probability converted to monthly competing hazard,Primary; assumptions_table; simulation_validation_table
ni_margin,Number,1.25,TextBox,Specialized Methods,(test_type:non_inferiority),291,116,.calculate_non_inferiority,1227,Relative HR margin; true HR must be below it; maximum HR inversion,Primary; non_inferiority_table; regulatory_table; narratives
ni_type,List,"""relative_margin""",ComboBox,Specialized Methods,(test_type:non_inferiority),300,120,.validate_inputs,372,Relative HR margin only; absolute/retention options blocked,notices; non_inferiority_table
rmst_tau,Number,36.0,TextBox,Specialized Methods,((test_type:rmst_test || effect_size_type:rmst_difference) && (!(test_type:non_inferiority && analysis_type:effect_size))),315,123,.get_effect_hr,3011,Restriction time for exponential RMST-to-HR conversion; ignored in NI inverse,Primary; survival_curves_plot; notices
rmst_difference,Number,3.0,TextBox,Specialized Methods,((test_type:rmst_test || effect_size_type:rmst_difference) && (!(test_type:non_inferiority && analysis_type:effect_size))),324,127,.get_effect_hr,3011,Signed months difference converted to HR; not an RMST-test power calculation,Primary; survival_curves_plot; notices
number_of_arms,Integer,3,TextBox,Advanced Options,(study_design:multi_arm),334,139,.multi_arm_factor,3453,"One control plus equally sized experimental arms, shared assumed HR",Primary; multi_arm_table; whole-study event counts
