"output","type","populated","examples"
"notices","Preformatted",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"instructions","Html",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"power_summary","Table",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"simulation_validation_table","Table",TRUE,"sample_size;sparse"
"sample_size_results","Table",TRUE,"sample_size;ni;multi_arm;sequential;cluster"
"power_results","Table",TRUE,"power;sparse"
"effect_size_results","Table",TRUE,"effect"
"study_duration_results","Table",TRUE,"duration"
"assumptions_table","Table",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"non_inferiority_table","Table",TRUE,"ni"
"multi_arm_table","Table",TRUE,"multi_arm"
"interim_analysis_table","Table",TRUE,"sequential"
"sensitivity_analysis_table","Table",TRUE,"sample_size;power"
"regulatory_table","Table",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"power_curve_plot","Image",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"sample_size_plot","Image",TRUE,"sample_size;ni;multi_arm;sequential;cluster"
"survival_curves_plot","Image",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"accrual_timeline_plot","Image",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"sensitivity_plot","Image",TRUE,"sample_size;power"
"clinical_interpretation","Html",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"natural_language_summary","Html",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"educational_explanations","Html",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"statistical_glossary","Html",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
"guided_workflow","Html",TRUE,"sample_size;power;duration;effect;ni;multi_arm;sequential;cluster;sparse"
