"filename","line_number","column_number","type","message","line","linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,35,"style","Opening curly braces should never go on their own line and should always be followed by a new line.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,51,"style","Opening curly braces should never go on their own line and should always be followed by a new line.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,64,"style","Replace compound semicolons by a newline.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","semicolon_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,72,"style","Replace compound semicolons by a newline.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","semicolon_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,81,"style","Closing curly-braces should always be on their own line, unless they are followed by an else.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,82,"style","Replace compound semicolons by a newline.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","semicolon_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",292,86,"style","Closing curly-braces should always be on their own line, unless they are followed by an else.","            gcd <- function(a, b) { while (b > 0) { z <- a %% b; a <- b; b <- z }; a }","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1160,51,"style","Either both or neither branch in `if`/`else` should use curly braces.","                private$primary_numbers$events <- if (looks > 1) {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1189,26,"style","Wrap multi-line function bodies in curly braces.","            objective <- function(follow_up) private$.basic_power_calc(n, hr, alpha,","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1192,51,"style","Either both or neither branch in `if`/`else` should use curly braces.","            if (objective(0) >= 0) follow_up <- 0 else {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",1676,86,"style","Either both or neither branch in `if`/`else` should use curly braces.","            half_time <- if (is.na(events_needed) || is.na(total_duration)) NA_real_ else {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",2487,21,"style","Either both or neither branch in `if`/`else` should use curly braces.","                    if (test_type == ""non_inferiority"") {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",2908,18,"style","Either both or neither branch in `if`/`else` should use curly braces.","            k <- if (self$options$interim_analyses > 0 &&","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",2914,27,"style","Wrap multi-line function bodies in curly braces.","                events <- function(lambda, effect) private$.expected_events_from_sample(","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",3015,34,"style","Wrap multi-line function bodies in curly braces.","                    objective <- function(n) private$.cox_power(n, hr, alpha,","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",3159,23,"style","Either both or neither branch in `if`/`else` should use curly braces.","                hr <- if (is.finite(tau) && tau > 0 && probability > 0 && probability < 1) {","brace_linter"
"/Users/serdarbalci/Documents/GitHub/ClinicoPathJamoviModule/R/survivalPower.b.R",4029,25,"style","Either both or neither branch in `if`/`else` should use curly braces.","                        if (length(p_value) != 1 || !is.finite(p_value)) {","brace_linter"
