"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-survivalPower-check-function.R","survivalPower-check-function","multi-arm non-inferiority uses the adjusted one-sided alpha throughout",12,0,FALSE,FALSE,0,1.098,0.303,1.599,12
"test-survivalPower-check-function.R","survivalPower-check-function","shared control power uses the correlation of the treatment contrasts",1,0,FALSE,FALSE,0,0.0500000000000007,0.0150000000000006,0.0700000000000003,1
"test-survivalPower-check-function.R","survivalPower-check-function","failed calculations do not produce completion messages or derived plots",12,0,FALSE,FALSE,0,0.102999999999998,0.0430000000000001,0.160000000000004,12
"test-survivalPower-check-function.R","survivalPower-check-function","simulation validation refuses designs the simulator does not implement",12,0,FALSE,FALSE,0,0.501999999999999,0.165,0.710999999999999,12
"test-survivalPower-check-function.R","survivalPower-check-function","sensitivity scenarios keep the selected design and multiplicity adjustment",8,0,FALSE,FALSE,0,5.078,1.136,7.34,8
"test-survivalPower-check-function.R","survivalPower-check-function","saved results clear when a formerly valid design becomes unsupported",16,0,FALSE,FALSE,0,0.682000000000002,0.645,1.724,16
"test-survivalPower-check-function.R","survivalPower-check-function","two-sided power equals alpha at the null and includes both rejection tails",7,0,FALSE,FALSE,0,0.238999999999997,0.106000000000001,0.414999999999999,7
"test-survivalPower-design-factors.R","survivalPower-design-factors","interim looks inflate log-rank and non-inferiority, not only Cox",2,0,FALSE,FALSE,0,1.054,0.497,1.78599999999999,2
"test-survivalPower-design-factors.R","survivalPower-design-factors","the Cox sequential design is efficacy-only",2,0,FALSE,FALSE,0,2.389,0.800999999999999,3.629,2
"test-survivalPower-design-factors.R","survivalPower-design-factors","sequential power agrees with gsDesign's boundary-crossing probability",3,0,FALSE,FALSE,0,0.556000000000004,0.193999999999999,0.977999999999994,3
"test-survivalPower-design-factors.R","survivalPower-design-factors","power, detectable HR and duration honour the design the sample size used",7,0,FALSE,FALSE,0,0.920999999999999,0.178999999999998,1.111,7
"test-survivalPower-design-factors.R","survivalPower-design-factors","detail tables report the headline's numbers",4,0,FALSE,FALSE,0,0.0840000000000032,0.0150000000000006,0.144999999999996,4
"test-survivalPower-design-factors.R","survivalPower-design-factors","the non-inferiority interim table is populated at one-sided alpha",3,0,FALSE,FALSE,0,0.408999999999999,0.0680000000000014,0.503999999999998,3
"test-survivalPower-design-factors.R","survivalPower-design-factors","unsupported design choices are refused or disclosed, not silently ignored",7,0,FALSE,FALSE,0,0.247999999999998,0.0440000000000005,0.311,7
"test-survivalPower-distributions.R","survivalPower-distributions","Weibull distribution: Sample size calculation works (shape = 1.5)",1,0,FALSE,FALSE,0,0.0409999999999968,0.0149999999999988,0.070999999999998,1
"test-survivalPower-distributions.R","survivalPower-distributions","Weibull distribution: Shape = 1.0 equivalent to exponential",2,0,FALSE,FALSE,0,0.0820000000000007,0.0149999999999988,0.0989999999999966,2
"test-survivalPower-distributions.R","survivalPower-distributions","Weibull distribution: Decreasing hazard (shape < 1)",1,0,FALSE,FALSE,0,0.0319999999999965,0.00600000000000023,0.0380000000000038,1
"test-survivalPower-distributions.R","survivalPower-distributions","Weibull distribution: Increasing hazard (shape > 1)",1,0,FALSE,FALSE,0,0.0320000000000036,0.011000000000001,0.0510000000000019,1
"test-survivalPower-distributions.R","survivalPower-distributions","Weibull distribution: Power calculation works",1,0,FALSE,FALSE,0,0.0339999999999989,0.016,0.0589999999999975,1
"test-survivalPower-distributions.R","survivalPower-distributions","Weibull distribution: Invalid shape parameter rejected",2,0,FALSE,FALSE,0,0.056999999999995,0.0250000000000004,0.0959999999999965,2
"test-survivalPower-distributions.R","survivalPower-distributions","Log-normal distribution: Sample size calculation works",1,0,FALSE,FALSE,0,0.0919999999999987,0.170999999999999,0.342999999999996,1
"test-survivalPower-distributions.R","survivalPower-distributions","Log-normal distribution: Power calculation works",1,0,FALSE,FALSE,0,0.0390000000000015,0.0240000000000009,0.0829999999999984,1
"test-survivalPower-distributions.R","survivalPower-distributions","Log-normal distribution: Different sigma values",2,0,FALSE,FALSE,0,0.0660000000000025,0.0300000000000011,0.106000000000002,2
"test-survivalPower-distributions.R","survivalPower-distributions","Different distributions produce different sample sizes",3,0,FALSE,FALSE,0,0.0959999999999965,0.0389999999999997,0.153999999999996,3
"test-survivalPower-events.R","survivalPower-events","the events file is wired to the control that references it",4,0,FALSE,FALSE,0,0.00500000000000256,0.00399999999999956,0.00900000000000034,4
"test-survivalPower-events.R","survivalPower-events","every preset key and value is legal under the .a.yaml schema",331,0,FALSE,FALSE,0,0.402999999999999,0.262,0.722999999999999,331
"test-survivalPower-events.R","survivalPower-events","the custom preset restores the .a.yaml defaults",19,0,FALSE,FALSE,0,0.0439999999999969,0.0199999999999996,0.0630000000000024,19
"test-survivalPower-events.R","survivalPower-events","every preset produces a usable analysis, not a validation error",12,0,FALSE,FALSE,0,0.287000000000006,0.043000000000001,0.334000000000003,12
