"id","treatment_missing","prob_zero","prob_one","prob_negative","prob_over_one","cost_zero","cost_negative","cost_very_high","utility_negative","utility_over_one","single_treatment","many_categories"
1,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","M"
2,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","M"
3,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","E"
4,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","H"
5,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","A"
6,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","D"
7,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","H"
8,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","D"
9,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","I"
10,"Treatment",0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","N"
11,NA,0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","B"
12,NA,0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","B"
13,NA,0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","L"
14,NA,0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","A"
15,NA,0,1,0.5,0.5,0,1000,10000,0.8,0.8,"Only_Treatment","J"
16,"Control",0,1,-0.1,1.1,0,-500,1e+08,-0.2,1.5,"Only_Treatment","G"
17,"Control",0,1,-0.1,1.1,0,-500,1e+08,-0.2,1.5,"Only_Treatment","J"
18,"Control",0,1,-0.1,1.1,0,-500,1e+08,-0.2,1.5,"Only_Treatment","C"
19,"Control",0,1,-0.1,1.1,0,-500,1e+08,-0.2,1.5,"Only_Treatment","G"
20,"Control",0,1,-0.1,1.1,0,-500,1e+08,-0.2,1.5,"Only_Treatment","B"
