geo,TIME_PERIOD,values,unit
AT,2022,109.2,number
BE,2022,383.1,number
BG,2022,64.1,number
HR,2022,73.9,number
CY,2022,92.9,number
CZ,2022,139.6,number
DK,2022,140.9,number
EE,2022,31.5,number
FI,2022,18.2,number
FR,2022,119.7,number
DE,2022,232.7,number
GR,2022,80.7,number
HU,2022,107.6,number
IE,2022,72.9,number
IT,2022,195.9,number
LV,2022,30.4,number
LT,2022,43.5,number
LU,2022,241.5,number
MT,2022,1380.4,number
NL,2022,521.0,number
PL,2022,124.0,number
PT,2022,112.2,number
RO,2022,84.4,number
SK,2022,113.1,number
SI,2022,103.2,number
ES,2022,94.4,number
SE,2022,25.5,number
