"scenario_id","screening_strategy","screening_method","target_population","sensitivity","specificity","positive_predictive_value","negative_predictive_value","disease_prevalence","prob_early_detection","prob_cure_early","prob_cure_late","cost_screening_test","cost_diagnostic_workup","cost_treatment_early","cost_treatment_late","cost_false_positive","utility_healthy","utility_early_disease","utility_late_disease","utility_cured","utility_false_positive_anxiety","life_years_gained","quality_adjusted_life_years"
1,"Annual Screening","Method C","General Population",0.861468793230597,0.975251888264902,0.38696068841964,0.963051779232221,0.00443636446725577,0.753445289167576,0.800933818996418,0.450103586749174,931.79663209332,2357.00307692076,30283.4042233314,64438.2719731462,1366.44795583356,0.992897050851025,0.850021842075512,0.521233534161001,0.912048378190957,0.916232205065899,7.41571478027715,4.83330394678848
2,"Biennial Screening","Method C","Genetic Risk",0.876650375418831,0.977221487066709,0.494989210460335,0.955370036397362,0.110051630379166,0.841412090440281,0.848352971870918,0.263042629510164,1101.5747622684,2608.91656697504,19785.2278603655,52936.716534894,1626.7565244559,0.979601368587464,0.838598581287079,0.433494975278154,0.9143311925116,0.940746777737513,3.77931735415693,5.0748322124682
3,"No Screening","Method A","Genetic Risk",0.803487479907926,0.891305941627361,0.244869808573276,0.97784958064789,0.196052091440652,0.693058429914527,0.914895928779151,0.290048640687019,185.758540570609,1460.80887725788,21169.0419633821,54336.9039706488,1495.16446144282,0.962128666997887,0.861192545830272,0.506966534350067,0.901920375041664,0.916090604662895,1.95400444798597,5.13078448323791
4,"Risk-Based Screening","Method B","General Population",0.878724674624391,0.833696474255994,0.176280303951353,0.998381916720653,0.00392195862252265,0.616845455998555,0.811795294936746,0.366782480874099,578.175226093805,2288.16762499941,29250.1811665728,66195.8448900136,1505.81005793701,0.952731228247285,0.865386689058505,0.505959709081799,0.940436374791898,0.943737143697217,5.94314273972296,4.80287268808667
5,"Annual Screening","Method B","High Risk",0.752308122452814,0.821716416985728,0.402555483300239,0.969059299405897,0.045834298664704,0.792871117265895,0.896674109064043,0.230199552606791,444.468761169702,2013.91415757851,21820.2648691375,64604.6679207001,1576.27513740151,0.982007067988161,0.886255817627534,0.544462129846215,0.947997130185831,0.9006766873179,3.54976519285811,6.94329304053539
6,"Biennial Screening","Method C","High Risk",0.844842541078106,0.905096341539174,0.257247795630246,0.998383614632068,0.0152692695800215,0.861174073442817,0.812543778808322,0.30750255426392,913.588313664248,2025.47545515843,22362.626970274,91350.3000162326,2004.31902395797,0.979048564401455,0.846889778622426,0.520709392568097,0.931434242986143,0.923065316560678,-0.0280108293950958,1.85296511424392
7,"Annual Screening","Method C","High Risk",0.84595271460712,0.900908483839594,0.199557939171791,0.966506681076717,0.0433017328288406,0.877713900106028,0.819045632029884,0.259549357159995,979.560282509922,2439.32886068283,23121.643876352,87195.5490867905,1444.14783015672,0.956008242315147,0.898335482180119,0.539262366853654,0.933406222099438,0.879823718615808,5.77177990328187,1.96750611930162
8,"Biennial Screening","Method A","General Population",0.757689585722983,0.909790161885321,0.49690104816109,0.987281384574715,0.00119764792267233,0.608337173215114,0.860580253996886,0.465027552074753,199.712077649005,2210.78300755962,12444.2810979742,69257.8859254634,1303.54001200719,0.99449268829776,0.890983902895823,0.550912719406188,0.947721057408489,0.853177128336392,6.53114383797764,2.44743414981692
9,"Risk-Based Screening","Method A","Genetic Risk",0.7475673598703,0.97464393327944,0.388858359027654,0.993688886591233,0.125556827289984,0.649977244902402,0.861354717263021,0.260245602880605,176.072047581971,1977.0286486567,29058.7575042908,67189.7225934991,1066.15535383885,0.969167125993408,0.818510933709331,0.442744005704299,0.91187525249552,0.910699561424553,7.12461076444428,5.49053027775593
10,"No Screening","Method B","Genetic Risk",0.802189397148322,0.967168824123219,0.398018625751138,0.994430834063329,0.140351221279707,0.851003095577471,0.896044966415502,0.243044647527859,529.35292358667,1882.434466527,26372.5063359725,53107.2343768731,1491.54054615821,0.954080948117189,0.8327932351036,0.599125871947035,0.91931274367962,0.926215859525837,3.13182540621225,6.77918743053313
